OrthologID	GeneSymbol(2019)	TAEGU_ENSEMBL_gID_rel67
254	SLC7A6OS	ENSTGUG00000006907
257	IK	ENSTGUG00000001576
260	WNT11	ENSTGUG00000013564
264	TMEM173	ENSTGUG00000001599
267	EIF2D	
268	SLC7A6	ENSTGUG00000006874
277	GINS3	ENSTGUG00000004710
278	GPATCH3	ENSTGUG00000000986
282	SRPK1	ENSTGUG00000001648
283	APCDD1	ENSTGUG00000009758
284	NUDC	ENSTGUG00000000980
285	CFAP20	ENSTGUG00000004759
288	KARS	ENSTGUG00000008400
290	FAM187A	ENSTGUG00000002087
295	SLC9A1	ENSTGUG00000000976
296	LMX1B	ENSTGUG00000007409
301	HBEGF	
303	TMEM222	ENSTGUG00000000971
308	CEP104	ENSTGUG00000002728
311	EFTUD2	ENSTGUG00000002065
314	RABEPK	ENSTGUG00000007274
316	CNGB1	ENSTGUG00000004800
319	TSPOAP1	ENSTGUG00000003283
320	TPRG1L	ENSTGUG00000002766
322	EPB41L1	
325	SCAMP4	ENSTGUG00000000268
329	ELAC2	ENSTGUG00000005776
330	MAN1C1	ENSTGUG00000001087
331	RPL35	ENSTGUG00000007196
332	MTMR4	ENSTGUG00000003314
333	REXO1	ENSTGUG00000000250
338	SRPRA	ENSTGUG00000000815
339	ABHD11	
341	DDA1	ENSTGUG00000015918
342	DRC7	ENSTGUG00000004909
350	TTC34	ENSTGUG00000002835
351	DCPS	ENSTGUG00000000833
355	MBD3	ENSTGUG00000000202
356	PSMB7	ENSTGUG00000007119
357	GOSR2	ENSTGUG00000002011
360	PFKFB2	ENSTGUG00000001052
364	FGFR3	ENSTGUG00000010583
367	UBXN6	ENSTGUG00000000813
369	AUTS2	ENSTGUG00000003492
370	FLI1	ENSTGUG00000000589
371	PHB	ENSTGUG00000003470
373	KCNJ1	ENSTGUG00000000587
376	RCC1L	ENSTGUG00000003787
377	C4BPA	
380	KCNJ5	ENSTGUG00000000586
381	NCF1	ENSTGUG00000003753
382	DBR1	ENSTGUG00000007073
385	TMEM45B	ENSTGUG00000000568
386	EED	ENSTGUG00000012982
389	MSL2	
391	PEX10	ENSTGUG00000002934
392	ENSGALT00000001863	
393	SAMHD1	ENSTGUG00000003280
395	STX8	ENSTGUG00000005177
399	APLP2	ENSTGUG00000000549
401	ARHGEF37	
405	TBL1XR1	ENSTGUG00000010773
409	GTF2IRD1	ENSTGUG00000003638
410	MAP2K2	ENSTGUG00000000994
413	PDCL	ENSTGUG00000006880
415	ZNF652	ENSTGUG00000003462
417	SRRM1	
418	SLC35G2	ENSTGUG00000007226
421	IGF2BP1	
422	SCLY	ENSTGUG00000007227
423	RFC2	ENSTGUG00000003875
424	GIP	
426	SNF8	
427	TRNAU1AP	ENSTGUG00000000735
429	PTGS1	ENSTGUG00000006822
432	CAMK1G	ENSTGUG00000001506
435	ATP5MC1	ENSTGUG00000003449
436	RBL1	ENSTGUG00000003231
437	MRRF	ENSTGUG00000006813
438	RBM18	ENSTGUG00000006802
444	ARL2BP	ENSTGUG00000005238
446	CLK3	
447	MYBBP1A	ENSTGUG00000003923
448	ENSGALT00000002086	
449	HSD11B1	ENSTGUG00000001496
451	SLC35E2B	ENSTGUG00000003009
453	ARID3B	ENSTGUG00000004014
461	SEMA7A	
464	DAB2IP	ENSTGUG00000006752
466	SNX19	ENSTGUG00000000703
467	WDR77	ENSTGUG00000001465
470	GSN	ENSTGUG00000006681
475	ADORA3	
477	STOML1	
480	ZAP70	ENSTGUG00000000330
481	SSU72	
482	NCAPD3	ENSTGUG00000000657
483	PPM1F	ENSTGUG00000008628
484	UTP11	ENSTGUG00000001453
485	PTTG2	ENSTGUG00000001417
488	ATAD3A	ENSTGUG00000003082
489	FHL3	ENSTGUG00000001464
492	CTTNBP2NL	ENSTGUG00000017548
493	THYN1	ENSTGUG00000000651
494	FN3KRP	
496	ARHGAP39	ENSTGUG00000003078
497	ST7L	ENSTGUG00000017538
498	SF3A3	ENSTGUG00000001466
499	MRPL20	ENSTGUG00000003113
504	CCNL2	ENSTGUG00000003114
505	ACAD8	ENSTGUG00000000648
507	MXRA8	ENSTGUG00000003136
508	WDR45B	ENSTGUG00000007638
510	NT5DC2	ENSTGUG00000005893
511	NFS1	ENSTGUG00000003005
512	P2RX1	ENSTGUG00000004165
514	FOXK2	ENSTGUG00000007654
515	TRAF1	ENSTGUG00000006555
516	MRPL40	ENSTGUG00000008534
518	ENSGALT00000002416	
519	MLLT1	ENSTGUG00000000360
520	PSMB3	ENSTGUG00000003023
521	ENSGALT00000002439	ENSTGUG00000000634
524	PIP4K2B	ENSTGUG00000003020
525	MAN2C1	ENSTGUG00000003778
526	CAMKK1	ENSTGUG00000004191
527	CWC25	ENSTGUG00000003011
533	EDC4	ENSTGUG00000005312
534	PSMD5	
536	MTF1	ENSTGUG00000001500
549	FBXL20	ENSTGUG00000002187
550	SEPT5	ENSTGUG00000008412
551	INTS11	ENSTGUG00000003192
553	SAG	ENSTGUG00000007429
557	MED1	ENSTGUG00000002205
559	PPCDC	ENSTGUG00000003855
560	UBAC1	ENSTGUG00000006430
563	NUP88	ENSTGUG00000004266
565	ENSGALT00000002639	
569	DGKD	ENSTGUG00000007464
570	CDK12	ENSTGUG00000002209
572	LRIG2	ENSTGUG00000017525
574	REC114	ENSTGUG00000004101
575	MAT2B	ENSTGUG00000001479
576	SFMBT1	ENSTGUG00000005471
580	TMEM208	ENSTGUG00000005504
581	ACAP3	ENSTGUG00000003217
582	MAPK8IP3	ENSTGUG00000003150
583	NEO1	ENSTGUG00000004132
587	ADPGK	ENSTGUG00000004179
589	METTL23	ENSTGUG00000007805
592	BBS4	
596	CTCF	ENSTGUG00000005603
598	FAM13C	ENSTGUG00000005544
599	WWC1	ENSTGUG00000001488
600	EEF2	ENSTGUG00000001004
601	PHYHIPL	ENSTGUG00000005576
602	SCNN1D	ENSTGUG00000004091
604	ROGDI	ENSTGUG00000003119
605	PHTF1	ENSTGUG00000001583
611	SDF4	ENSTGUG00000004064
617	CYGB	ENSTGUG00000007852
619	PANK3	ENSTGUG00000001510
620	C19orf21	ENSTGUG00000000640
621	WAPL	ENSTGUG00000005657
622	SNAPC4	ENSTGUG00000006303
627	GNB1L	ENSTGUG00000008387
629	OPN4	ENSTGUG00000005687
631	MYO7B	ENSTGUG00000007532
632	HEXA	ENSTGUG00000004228
633	RFT1	
634	ENSGALT00000003015	ENSTGUG00000000489
635	PMPCA	ENSTGUG00000006265
636	FAM102B	ENSTGUG00000004604
639	HENMT1	ENSTGUG00000004598
640	ENSGALT00000003038	
641	PTBP1	ENSTGUG00000000641
642	INPP5E	ENSTGUG00000006249
643	UBE2O	ENSTGUG00000007923
644	TRIM33	ENSTGUG00000001017
646	MED16	ENSTGUG00000000660
648	RAB40C	ENSTGUG00000003408
653	STXBP3	ENSTGUG00000004538
657	GPR139	ENSTGUG00000009306
659	TMEM259	ENSTGUG00000000673
661	ENSGALT00000003167	ENSTGUG00000005795
662	DENND2C	ENSTGUG00000001005
663	WDR33	ENSTGUG00000005784
664	RHBDD2	ENSTGUG00000004693
665	SRP68	ENSTGUG00000008083
670	DGCR8	ENSTGUG00000015500
671	MYO9A	ENSTGUG00000004424
674	AMPD1	ENSTGUG00000000993
675	NAGPA	ENSTGUG00000003465
676	ZDHHC1	ENSTGUG00000005755
677	TRMT2A	
678	CHMP4B	ENSTGUG00000003739
682	TSTD2	ENSTGUG00000001482
684	VPS35L	ENSTGUG00000009318
686	PLEKHN1	ENSTGUG00000004016
687	WDR47	ENSTGUG00000004499
688	NPRL2	ENSTGUG00000004686
692	ANKLE2	ENSTGUG00000008251
693	GABRP	ENSTGUG00000014916
695	GOLGA3	ENSTGUG00000008219
697	PATL2	ENSTGUG00000004619
699	PTPRC	
700	MRPL38	ENSTGUG00000008223
702	ACSM3	
703	PPL	ENSTGUG00000003506
705	FBRSL1	ENSTGUG00000008161
710	RAD51D	ENSTGUG00000004887
711	ERI2	ENSTGUG00000009232
712	NOC2L	ENSTGUG00000003958
715	UNC13D	ENSTGUG00000008268
717	AGO3	
721	ETF1	ENSTGUG00000014736
722	OGDHL	ENSTGUG00000005897
724	UNK	ENSTGUG00000008279
725	MAPKAPK3	ENSTGUG00000004729
729	LRIT1	ENSTGUG00000006007
730	ADPRHL2	ENSTGUG00000001622
732	NUBP2	ENSTGUG00000003574
733	TRIP4	ENSTGUG00000004673
736	EP400	ENSTGUG00000008078
737	ASPM	ENSTGUG00000004249
740	CLSPN	ENSTGUG00000001651
741	PMS1	ENSTGUG00000010865
742	DNAH3	ENSTGUG00000009160
744	NRG3	ENSTGUG00000006090
745	CDO1	ENSTGUG00000017540
746	HSPA9	ENSTGUG00000014760
747	SEC16A	ENSTGUG00000006187
748	F13B	ENSTGUG00000004241
749	PSMB2	ENSTGUG00000001663
751	NIPSNAP2	ENSTGUG00000005056
755	ENSGALT00000003778	ENSTGUG00000001554
756	ULK1	ENSTGUG00000007986
760	EXOSC3	ENSTGUG00000006162
761	TPGS2	ENSTGUG00000001655
763	SLC40A1	ENSTGUG00000010889
764	DUOX2	ENSTGUG00000004765
771	ENSGALT00000003871	ENSTGUG00000004846
773	SUMF2	ENSTGUG00000005131
774	SLC2A5	ENSTGUG00000003777
778	GPR157	ENSTGUG00000003771
781	CRYM	ENSTGUG00000009095
782	RNF123	ENSTGUG00000005277
784	H6PD	ENSTGUG00000003746
786	RHOT2	ENSTGUG00000003643
789	RO60	ENSTGUG00000004126
792	SYCP1	
795	SLC25A33	ENSTGUG00000003726
799	UCHL5	ENSTGUG00000004108
801	TMEM201	ENSTGUG00000003712
812	CFAP70	ENSTGUG00000003681
815	ARAP3	ENSTGUG00000015074
816	RGS4	ENSTGUG00000016967
818	STARD10	ENSTGUG00000015143
820	PIK3CD	ENSTGUG00000003652
825	U2SURP	ENSTGUG00000008687
826	ENSGALT00000004119	
828	TMEM248	ENSTGUG00000005387
829	CALCR	ENSTGUG00000001514
832	PIWIL1	ENSTGUG00000004779
835	NCBP3	ENSTGUG00000005396
838	PCYOX1L	ENSTGUG00000000252
842	HSD17B7	ENSTGUG00000017081
843	BRD3	ENSTGUG00000005739
844	DECR2	ENSTGUG00000003772
849	FAM149B1	ENSTGUG00000004624
850	STK11	ENSTGUG00000000898
851	DUSP19	ENSTGUG00000011298
852	VAV2	ENSTGUG00000005682
854	LINGO1	ENSTGUG00000003703
855	IPMK	ENSTGUG00000005132
858	XPO6	ENSTGUG00000003781
859	TMCO1	
860	AQP5	
862	KIF1B	ENSTGUG00000003304
863	UHMK1	ENSTGUG00000017148
864	INPP5K	ENSTGUG00000005518
866	NCKAP1	ENSTGUG00000011303
868	RFWD3	ENSTGUG00000006323
869	SIRT1	ENSTGUG00000003480
870	ATP1B3	ENSTGUG00000008432
871	NBR1	ENSTGUG00000002873
877	PDXDC1	ENSTGUG00000005278
878	PGD	ENSTGUG00000003302
879	RND2	ENSTGUG00000002860
880	LMAN1	
883	STK10	ENSTGUG00000000289
885	DFFA	ENSTGUG00000003289
888	NUDT3	ENSTGUG00000001788
890	NTAN1	ENSTGUG00000005243
893	SEC11C	ENSTGUG00000017485
895	RFNG	ENSTGUG00000003665
898	RASA2	ENSTGUG00000008379
903	LEMD2	ENSTGUG00000001795
907	LRRC45	ENSTGUG00000003614
908	CREBRF	ENSTGUG00000000314
910	BNIP1	ENSTGUG00000000316
914	STC2	ENSTGUG00000000322
915	PACS2	ENSTGUG00000017216
916	ENPP1	ENSTGUG00000011628
917	NOTUM	ENSTGUG00000003588
918	TRAIP	ENSTGUG00000005071
919	BOD1	ENSTGUG00000000324
920	GSPT1	ENSTGUG00000005103
921	BRI3BP	ENSTGUG00000004948
923	TRIP12	ENSTGUG00000008316
924	ETFA	ENSTGUG00000003549
925	DBH	ENSTGUG00000005640
926	CPPED1	ENSTGUG00000005075
930	SHISA9	ENSTGUG00000005074
931	MSX2	ENSTGUG00000000339
936	DHX37	ENSTGUG00000004953
938	MAU2	ENSTGUG00000013909
940	SPHKAP	ENSTGUG00000008287
941	CNTD1	ENSTGUG00000002781
942	ERCC4	ENSTGUG00000005055
947	AC004475.1	
952	SERPINF1	ENSTGUG00000005744
953	COX11	ENSTGUG00000009463
954	SCARB1	ENSTGUG00000004988
956	ARMC6	ENSTGUG00000001090
958	ADAMTS13	
959	TMEM26	ENSTGUG00000005296
960	STXBP4	ENSTGUG00000009465
961	SS2	
962	FAM78B	ENSTGUG00000017258
965	SRM	ENSTGUG00000002225
966	PXMP4	
969	SUGP2	ENSTGUG00000001088
974	HLF	ENSTGUG00000009478
975	MRPL44	ENSTGUG00000008225
976	EZH1	
977	OGFOD1	ENSTGUG00000006586
979	FASLG	ENSTGUG00000017264
980	MMD	ENSTGUG00000009491
983	EXOSC10	ENSTGUG00000002231
984	PARN	ENSTGUG00000004971
985	ERLIN2	ENSTGUG00000004644
987	CBFA2T2	ENSTGUG00000003776
988	PLPBP	ENSTGUG00000004658
989	PINK1	
990	ENSGALT00000004910	ENSTGUG00000009513
991	BFAR	ENSTGUG00000004956
994	NCOR2	ENSTGUG00000005023
995	ZFAND2A	ENSTGUG00000008336
996	RAB11FIP1	ENSTGUG00000004717
997	IKZF2	ENSTGUG00000002874
1000	CCDC92	ENSTGUG00000005098
1001	TRPC4AP	ENSTGUG00000003820
1004	TUBG1	ENSTGUG00000002727
1005	COPE	ENSTGUG00000014053
1006	TXNDC11	ENSTGUG00000004893
1009	COIL	ENSTGUG00000009544
1013	CCDC6	ENSTGUG00000005517
1014	MTMR12	ENSTGUG00000001907
1015	DNAH10	
1016	IREB2	ENSTGUG00000003332
1020	TSR1	ENSTGUG00000005883
1021	BAK1	ENSTGUG00000001826
1022	SCPEP1	ENSTGUG00000009555
1024	CRABP1	ENSTGUG00000003323
1025	ATP6V0A2	ENSTGUG00000005182
1026	TCTN2	ENSTGUG00000005251
1027	UPF1	
1028	HSF4	ENSTGUG00000006716
1029	OARD1	ENSTGUG00000001830
1030	ASH2L	ENSTGUG00000004741
1035	STAR	ENSTGUG00000004778
1036	CHUK	
1037	DNAJA4	ENSTGUG00000003285
1038	EIF2B1	ENSTGUG00000005283
1039	DDHD2	ENSTGUG00000004804
1040	PLPP5	
1042	KHDRBS1	ENSTGUG00000017346
1043	COMP	
1044	CDHR2	ENSTGUG00000000517
1045	ACSBG1	
1046	TMEM39B	ENSTGUG00000001431
1047	CHUK	ENSTGUG00000004649
1049	ATAD5	ENSTGUG00000004944
1050	HDAC1	ENSTGUG00000001420
1051	DDX55	ENSTGUG00000005302
1054	CRTC1	ENSTGUG00000001067
1055	LETM2	ENSTGUG00000004862
1056	TMED2	ENSTGUG00000005341
1059	RILPL1	ENSTGUG00000005356
1060	SNRNP35	ENSTGUG00000005364
1062	OSGIN1	ENSTGUG00000006842
1063	PRRX1	ENSTGUG00000017298
1066	DAPK2	ENSTGUG00000003221
1067	EIF3I	ENSTGUG00000001395
1068	C1QTNF3-AMACR	ENSTGUG00000001951
1071	SCYL3	ENSTGUG00000017308
1077	ACSS2	ENSTGUG00000004272
1078	C1orf112	ENSTGUG00000017309
1079	ELL	ENSTGUG00000001031
1082	KPNA6	ENSTGUG00000001379
1083	LSM4	ENSTGUG00000001027
1085	DNAJC21	ENSTGUG00000001971
1087	ADAM9	ENSTGUG00000004989
1089	BSDC1	ENSTGUG00000001376
1091	RALGDS	ENSTGUG00000005351
1092	C12orf65	ENSTGUG00000005440
1094	MPHOSPH9	ENSTGUG00000005443
1096	AC007950.1	ENSTGUG00000003160
1097	PIK3R2	ENSTGUG00000000392
1098	PBX1	ENSTGUG00000017317
1099	PMS2	ENSTGUG00000008778
1100	C17orf75	ENSTGUG00000004819
1103	GTF3C5	ENSTGUG00000005329
1104	LRRC52	ENSTGUG00000017320
1107	MCM10	ENSTGUG00000002254
1111	CCZ1	ENSTGUG00000008740
1113	TTC25	ENSTGUG00000002476
1116	MED20	ENSTGUG00000017445
1117	GFI1B	ENSTGUG00000005282
1119	BHLHA15	
1120	CCND3	ENSTGUG00000017447
1123	ALDH9A1	ENSTGUG00000017326
1124	TECPR1	ENSTGUG00000008666
1125	SPACA9	
1129	POLG2	ENSTGUG00000004666
1130	RBBP4	ENSTGUG00000001362
1131	ARRDC2	ENSTGUG00000000411
1132	DDX31	ENSTGUG00000005142
1133	BTG2	
1134	SGK2	ENSTGUG00000004480
1135	CEP95	ENSTGUG00000004601
1137	SKP2	ENSTGUG00000002027
1139	ARHGAP40	ENSTGUG00000004541
1141	ABCA12	ENSTGUG00000002904
1144	ACTR5	ENSTGUG00000004563
1146	ATIC	ENSTGUG00000002942
1147	ARHGEF18	ENSTGUG00000000416
1149	LPCAT2	
1152	FN1	ENSTGUG00000002978
1155	SARM1	ENSTGUG00000005952
1158	SLC46A1	ENSTGUG00000005966
1162	FEN1	ENSTGUG00000006627
1166	CPLANE1	ENSTGUG00000002059
1168	FAM20C	ENSTGUG00000008535
1169	ENSGALT00000005772	ENSTGUG00000005224
1172	FOXN1	ENSTGUG00000005999
1173	SETX	ENSTGUG00000005117
1176	PIGS	ENSTGUG00000006023
1178	ENSGALT00000005817	
1180	DNAAF5	ENSTGUG00000008484
1181	OGFOD2	ENSTGUG00000005516
1182	NUP155	ENSTGUG00000002069
1183	PAPSS2	ENSTGUG00000005019
1186	PSMD12	ENSTGUG00000004449
1189	DUSP1	ENSTGUG00000000299
1190	RAPGEF1	ENSTGUG00000005007
1192	FANCD2	ENSTGUG00000006733
1193	SOX30	ENSTGUG00000000620
1194	EGFLAM	ENSTGUG00000002114
1195	UCK1	ENSTGUG00000004981
1196	LIFR	ENSTGUG00000002116
1197	SZRD1	ENSTGUG00000001998
1198	IKBKB	ENSTGUG00000005490
1200	CPAMD8	ENSTGUG00000000470
1204	ANO5	ENSTGUG00000004532
1207	ICE2	ENSTGUG00000005359
1211	BRD7	ENSTGUG00000008471
1212	BNIP2	ENSTGUG00000005412
1213	SLC35E1	ENSTGUG00000000484
1214	GET4	ENSTGUG00000008424
1218	ARPC3	ENSTGUG00000005696
1226	KRT19	
1229	KRT15	ENSTGUG00000002384
1230	TRIT1	ENSTGUG00000001242
1234	MED7	ENSTGUG00000000675
1235	BLCAP	
1237	MTMR10	ENSTGUG00000005555
1241	FAN1	ENSTGUG00000005575
1242	P2RX4	ENSTGUG00000005858
1243	CACNG4	ENSTGUG00000004385
1244	N4BP1	ENSTGUG00000008647
1246	UBR4	ENSTGUG00000016758
1247	CAP1	ENSTGUG00000001218
1248	EPS15L1	ENSTGUG00000000686
1251	SYS1	ENSTGUG00000005006
1252	SDC4	ENSTGUG00000005021
1254	PPT1	ENSTGUG00000001213
1255	GEMIN5	ENSTGUG00000000688
1256	PRKCA	ENSTGUG00000004257
1259	RBPJL	ENSTGUG00000005009
1263	TOR1AIP1	ENSTGUG00000017382
1264	FAXDC2	ENSTGUG00000000681
1265	CEP112	ENSTGUG00000004216
1268	PITHD1	ENSTGUG00000001201
1269	RUFY2	ENSTGUG00000003642
1272	ERAL1	ENSTGUG00000006210
1274	LARP1	ENSTGUG00000000704
1276	PHKB	ENSTGUG00000008701
1277	AKR7A2	ENSTGUG00000016951
1278	SAP30L	ENSTGUG00000000710
1280	CAMKK2	ENSTGUG00000005920
1281	MARS2	ENSTGUG00000005225
1283	E2F8	ENSTGUG00000015857
1286	CAPZB	ENSTGUG00000016970
1287	DNA2	ENSTGUG00000003702
1288	MICOS10	ENSTGUG00000016993
1291	LARP6	ENSTGUG00000005808
1294	RGS9	ENSTGUG00000004156
1295	FAM114A2	ENSTGUG00000000719
1296	MICALL2	
1297	NETO2	ENSTGUG00000008802
1302	STK4	ENSTGUG00000005057
1303	NMUR2	ENSTGUG00000000747
1306	TOMM34	ENSTGUG00000005104
1307	GPR174	ENSTGUG00000002587
1308	STOX1	ENSTGUG00000003807
1311	UHRF1	ENSTGUG00000000781
1312	SRSF10	ENSTGUG00000001178
1313	ENSGALT00000006591	ENSTGUG00000003810
1315	NADSYN1	ENSTGUG00000005275
1316	KIF1BP	ENSTGUG00000003868
1318	NPHS2	ENSTGUG00000017388
1319	TOR1A	ENSTGUG00000004463
1320	ADA	ENSTGUG00000005206
1323	VPS26A	ENSTGUG00000003886
1327	TAF9	ENSTGUG00000002603
1328	SLTM	ENSTGUG00000006017
1330	KIF4A	ENSTGUG00000002605
1332	TMEM184A	ENSTGUG00000008209
1333	SIRT3	ENSTGUG00000006886
1334	TRMU	ENSTGUG00000003663
1337	SERINC3	ENSTGUG00000005242
1338	HKDC1	ENSTGUG00000003932
1340	KDM2B	ENSTGUG00000006001
1342	MRM2	ENSTGUG00000008183
1343	ORAI1	ENSTGUG00000006034
1346	MORN3	ENSTGUG00000006037
1347	TACR2	ENSTGUG00000004005
1349	BLMH	ENSTGUG00000006538
1351	MYDGF	ENSTGUG00000000803
1353	EIF3B	ENSTGUG00000008140
1355	LFNG	ENSTGUG00000008121
1361	DNAH1	
1363	PTDSS2	ENSTGUG00000006737
1364	FITM2	ENSTGUG00000005319
1368	GOSR1	ENSTGUG00000006594
1371	PLA2G12B	ENSTGUG00000004413
1378	OIT3	ENSTGUG00000004415
1380	PSMD9	ENSTGUG00000006128
1381	TBCA	ENSTGUG00000003968
1382	MCU	ENSTGUG00000004428
1383	AMZ1	ENSTGUG00000008055
1385	WDR66	ENSTGUG00000006137
1386	BAP1	ENSTGUG00000006264
1389	VPS35	ENSTGUG00000008891
1391	BCL7A	ENSTGUG00000006155
1392	TIMM22	ENSTGUG00000006650
1395	MLXIP	ENSTGUG00000006158
1399	ASCC1	ENSTGUG00000004483
1400	TTC19	ENSTGUG00000006675
1404	SEC16B	ENSTGUG00000017406
1405	FAM104B	ENSTGUG00000002914
1408	PPA1	ENSTGUG00000004539
1411	UQCRFS1	ENSTGUG00000008947
1412	LRRC20	ENSTGUG00000004585
1413	TP53RK	ENSTGUG00000005398
1414	AP5Z1	ENSTGUG00000007760
1420	ZCCHC8	ENSTGUG00000006286
1421	PAPPA2	ENSTGUG00000017415
1422	DMGDH	ENSTGUG00000003802
1424	TNIP1	ENSTGUG00000000818
1429	SH3GLB2	ENSTGUG00000004316
1431	KNTC1	ENSTGUG00000006320
1432	ENSGALT00000007194	ENSTGUG00000003783
1433	TRPV2	ENSTGUG00000006853
1434	ENSGALT00000007198	
1438	RAD9B	ENSTGUG00000006398
1441	NUP188	ENSTGUG00000004258
1442	PPTC7	ENSTGUG00000006400
1444	DOLK	ENSTGUG00000004256
1445	WIPI2	ENSTGUG00000007704
1446	TCTN1	ENSTGUG00000006407
1452	CLCN6	ENSTGUG00000002366
1455	ENSGALT00000007323	
1457	KYAT1	ENSTGUG00000004212
1459	FBXL18	ENSTGUG00000007676
1460	P2RX5	ENSTGUG00000006858
1462	SPOUT1	ENSTGUG00000004201
1465	CTNS	ENSTGUG00000006919
1466	RNF216	ENSTGUG00000007658
1468	SHPK	ENSTGUG00000006941
1469	MAD2L2	ENSTGUG00000002334
1470	NMNAT2	ENSTGUG00000003955
1471	ENSGALT00000007401	ENSTGUG00000002327
1472	CCDC32	ENSTGUG00000007330
1473	TRPV1	ENSTGUG00000006952
1475	SMURF1	ENSTGUG00000007637
1476	BAHD1	ENSTGUG00000007318
1477	TRPV3	ENSTGUG00000007015
1478	SHISA5	ENSTGUG00000005317
1479	KPNA7	ENSTGUG00000007626
1480	SMG7	ENSTGUG00000003928
1482	ASPA	ENSTGUG00000007044
1485	IVD	ENSTGUG00000007297
1487	PKN1	ENSTGUG00000004079
1488	NLE1	ENSTGUG00000007088
1491	WDR34	ENSTGUG00000004041
1493	ENSGALT00000007496	
1494	MSN	ENSTGUG00000002826
1495	TMOD3	ENSTGUG00000006847
1496	ZC3H12B	ENSTGUG00000002846
1497	KCNJ12	
1498	ENSGALT00000007522	
1499	ALDH2	ENSTGUG00000006552
1500	RGL1	ENSTGUG00000003845
1501	SLC7A10	ENSTGUG00000009432
1502	SLC7A9	ENSTGUG00000009229
1505	STAU1	ENSTGUG00000008784
1506	GLE1	ENSTGUG00000003910
1507	EPHB2	ENSTGUG00000017194
1509	NATD1	
1511	TMEM11	ENSTGUG00000007500
1515	CEP89	ENSTGUG00000009207
1517	SLC47A2	
1518	PTGES2	ENSTGUG00000003851
1521	NXN	
1522	CDC42	ENSTGUG00000017253
1523	MRM3	ENSTGUG00000007244
1524	PHKA1	ENSTGUG00000004827
1525	TRAFD1	
1527	TGM3	ENSTGUG00000005513
1529	EDEM3	ENSTGUG00000003798
1530	FAM129A	ENSTGUG00000003774
