# Data description
In this text, 5 types of species combinations were included: 1 set of avian vocal learners, 1 set of birds of prey, 1 set of waterbirds, 59 sets as core control, and 1,000 sets as random control.

# Set of vocal learning birds (n=6)
TAEGU,GEOFO,CORBR,MELUN,NESNO,CALAN
CORBR,GEOFO,MELUN,NESNO,PICPU,TAEGU
CORBR,GEOFO,MELUN,NESNO,PODCR,TAEGU
CORBR,GEOFO,MELUN,NESNO,PTEGU,TAEGU
CORBR,GEOFO,MELUN,NESNO,PYGAD,TAEGU
CORBR,GEOFO,MELUN,NESNO,STRCA,TAEGU
CORBR,GEOFO,MELUN,NESNO,TAEGU,TAUER
CORBR,GEOFO,MELUN,NESNO,TAEGU,TINMA
CORBR,GEOFO,MELUN,NESNO,TAEGU,TYTAL
CALAN,CORBR,GEOFO,MERNU,PICPU,TAEGU
CALAN,CORBR,EGRGA,GEOFO,PELCR,TAEGU
CALAN,CORBR,EURHE,GEOFO,PHALE,TAEGU
APTFO,CALAN,CORBR,GEOFO,PYGAD,TAEGU

# 1,000 random control sets (each n = 6)
APTFO,CHLUN,FULGL,PYGAD,STRCA,TAUER
APTFO,COLLI,COLST,MESUN,PTEGU,PYGAD
CHLUN,CUCCA,EGRGA,HALAL,HALLE,TAUER
BALRE,CHAVO,CORBR,EGRGA,GEOFO,TAEGU
CATAU,EGRGA,GAVST,HALAL,HALLE,PELCR
BALRE,CHAVO,COLLI,MESUN,PHACA,PTEGU
APAVI,BUCRH,MELGA,MERNU,PICPU,PODCR
APTFO,EURHE,MELUN,NESNO,PHALE,PYGAD
CALAN,CAPCA,CHAPE,EGRGA,HALAL,PELCR
APAVI,BUCRH,CATAU,CUCCA,MERNU,PICPU
CATAU,HALAL,HALLE,MANVI,STRCA,TINMA
CHLUN,COLST,CUCCA,GALGA,MELGA,TAUER
ANAPL,BUCRH,MERNU,MESUN,PICPU,PTEGU
APTFO,FULGL,HALAL,MESUN,PTEGU,PYGAD
CORBR,EGRGA,FALPE,GEOFO,PELCR,TAEGU
CORBR,GALGA,GEOFO,HALLE,MELGA,TAEGU
CHLUN,EGRGA,GALGA,NIPNI,PELCR,TAUER
APTFO,FULGL,NIPNI,PYGAD,STRCA,TINMA
APAVI,BUCRH,CHLUN,EURHE,MERNU,PICPU
CHLUN,CUCCA,EURHE,PELCR,PHALE,TAUER
APAVI,BUCRH,EGRGA,MERNU,PHACA,PICPU
APAVI,BUCRH,CARCR,COLLI,MERNU,PICPU
CARCR,CORBR,GEOFO,MANVI,TAEGU,TYTAL
BALRE,CALAN,CAPCA,CHAPE,CHAVO,PHACA
APAVI,CORBR,GEOFO,MERNU,PICPU,TAEGU
EGRGA,HALAL,NIPNI,PELCR,PHACA,PODCR
ANAPL,APAVI,BUCRH,MERNU,PICPU,TAUER
BALRE,CHAPE,CHAVO,MERNU,OPHHO,PICPU
BALRE,BUCRH,CHAVO,MERNU,PHORU,PICPU
APTFO,CORBR,EGRGA,NIPNI,PELCR,PYGAD
ANAPL,APAVI,BUCRH,MELUN,MERNU,PICPU
APAVI,BUCRH,MERNU,PELCR,PICPU,TAUER
BALRE,CALAN,CHAVO,MESUN,OPHHO,PTEGU
ANAPL,GALGA,GEOFO,HALAL,HALLE,MELGA
BUCRH,CORBR,EURHE,GEOFO,MANVI,TAEGU
APAVI,BUCRH,CATAU,MELGA,MERNU,PICPU
ANAPL,BALRE,CHAVO,GALGA,MELGA,MERNU
CORBR,GEOFO,HALAL,HALLE,PTEGU,TAEGU
CALAN,CAPCA,CHAPE,CORBR,EURHE,PHALE
BALRE,CATAU,CHAVO,HALAL,HALLE,MESUN
BALRE,CHAVO,CHLUN,CUCCA,TAUER,TINMA
APAVI,BUCRH,CATAU,MERNU,PICPU,PODCR
BUCRH,MERNU,MESUN,PHALE,PICPU,PTEGU
COLLI,EGRGA,MESUN,PELCR,PTEGU,PYGAD
CHLUN,CUCCA,LEPDI,MELUN,NESNO,TAUER
APTFO,CARCR,CORBR,GEOFO,PYGAD,TAEGU
CALAN,CATAU,CHAPE,HALAL,HALLE,MELGA
CORBR,GEOFO,MANVI,PHORU,PYGAD,TAEGU
CATAU,EGRGA,GALGA,NIPNI,PELCR,PHACA
CHLUN,EGRGA,NIPNI,PELCR,PHACA,PYGAD
APTFO,CATAU,HALAL,HALLE,PODCR,PYGAD
CORBR,FALPE,GEOFO,MANVI,MELUN,TAEGU
APTFO,FULGL,GEOFO,MELUN,PYGAD,TAEGU
BALRE,CHAVO,GALGA,MELGA,MELUN,NESNO
EGRGA,NIPNI,PELCR,PHACA,PICPU,PTEGU
EGRGA,NIPNI,PELCR,PHACA,PICPU,STRCA
APTFO,BUCRH,MERNU,PICPU,PYGAD,STRCA
ANAPL,APTFO,CALAN,GALGA,MELGA,PYGAD
APAVI,BUCRH,MERNU,NIPNI,PHALE,PICPU
APTFO,EGRGA,NIPNI,PELCR,PHORU,PYGAD
BUCRH,CHLUN,MERNU,PHACA,PICPU,TAUER
CATAU,GALGA,HALAL,HALLE,MELGA,STRCA
APAVI,BUCRH,EGRGA,MERNU,NESNO,PICPU
EGRGA,FALPE,GALGA,NIPNI,PELCR,PHACA
CALAN,CAPCA,CHAPE,STRCA,TINMA,TYTAL
APTFO,CAPCA,EGRGA,NIPNI,PELCR,PYGAD
CORBR,GEOFO,MANVI,MELGA,NIPNI,TAEGU
ANAPL,APAVI,APTFO,BUCRH,MERNU,PICPU
BALRE,CHAVO,HALAL,HALLE,MELUN,OPHHO
BALRE,CORBR,GEOFO,MANVI,PICPU,TAEGU
EGRGA,GEOFO,NIPNI,PELCR,PHACA,PHALE
CHAVO,CUCCA,EGRGA,NIPNI,PELCR,PHACA
BALRE,CHAVO,COLLI,MESUN,PELCR,PTEGU
CORBR,GEOFO,OPHHO,STRCA,TAEGU,TINMA
COLLI,HALAL,HALLE,MESUN,PTEGU,STRCA
CAPCA,COLLI,GALGA,MELGA,MESUN,PTEGU
CHLUN,HALAL,HALLE,MESUN,PTEGU,TAUER
APTFO,CALAN,CAPCA,CHAPE,MANVI,PYGAD
EGRGA,NIPNI,PELCR,PHACA,PODCR,STRCA
CALAN,EGRGA,NIPNI,OPHHO,PELCR,PHACA
CALAN,CHAPE,CHLUN,CUCCA,GEOFO,TAUER
CHLUN,CUCCA,MERNU,STRCA,TAUER,TINMA
BUCRH,EURHE,GEOFO,MERNU,PICPU,TAEGU
BUCRH,FALPE,GALGA,MELGA,MERNU,PICPU
ANAPL,APAVI,BUCRH,CARCR,MERNU,PICPU
CALAN,CAPCA,CHAPE,EGRGA,PELCR,STRCA
EGRGA,FULGL,MELUN,NESNO,NIPNI,PELCR
CHLUN,COLLI,HALAL,MESUN,PTEGU,TAUER
APTFO,CUCCA,FULGL,MELUN,NESNO,PYGAD
ANAPL,CUCCA,GALGA,MELGA,MERNU,PICPU
CHAPE,EGRGA,NIPNI,OPHHO,PELCR,PHACA
CORBR,GEOFO,MANVI,NIPNI,PODCR,TAEGU
CAPCA,CORBR,GEOFO,MANVI,PICPU,TAEGU
EGRGA,MERNU,NESNO,NIPNI,PELCR,PICPU
CHLUN,CUCCA,MELUN,NESNO,PELCR,TAUER
APAVI,BUCRH,EURHE,FALPE,MERNU,PICPU
CHLUN,CORBR,GEOFO,HALAL,MANVI,TAEGU
APTFO,FULGL,MERNU,OPHHO,PICPU,PYGAD
APAVI,BUCRH,CUCCA,MERNU,PICPU,TAEGU
CALAN,CATAU,CHAPE,EURHE,HALAL,HALLE
APAVI,BUCRH,MELUN,MERNU,PICPU,TAUER
APTFO,CATAU,HALAL,HALLE,PYGAD,STRCA
APTFO,CORBR,GEOFO,PTEGU,PYGAD,TAEGU
ANAPL,CALAN,CHAPE,GALGA,LEPDI,MELGA
APTFO,BALRE,CORBR,GEOFO,MANVI,TAEGU
BUCRH,MELGA,MERNU,MESUN,PICPU,PTEGU
EGRGA,NIPNI,PELCR,PTEGU,STRCA,TINMA
APTFO,EGRGA,EURHE,NIPNI,PELCR,PHACA
CHLUN,CUCCA,MERNU,PICPU,STRCA,TAUER
CALAN,CATAU,CORBR,GEOFO,MANVI,TAEGU
CORBR,EGRGA,GEOFO,MANVI,MELUN,TAEGU
APTFO,CALAN,EGRGA,NIPNI,PELCR,PHACA
APTFO,CHAVO,FULGL,MESUN,PTEGU,PYGAD
CHLUN,EGRGA,MANVI,NIPNI,PELCR,TAUER
CATAU,HALAL,HALLE,MELUN,NESNO,PICPU
CATAU,HALAL,HALLE,MELUN,MESUN,PTEGU
CORBR,GEOFO,PHORU,PODCR,PTEGU,TAEGU
EURHE,MELUN,MERNU,NESNO,PHALE,PICPU
EGRGA,GALGA,MESUN,NIPNI,PELCR,PTEGU
EGRGA,EURHE,NIPNI,OPHHO,PELCR,PHACA
BUCRH,CORBR,GEOFO,LEPDI,MANVI,TAEGU
APTFO,CALAN,CHAPE,FULGL,GALGA,PYGAD
CALAN,CAPCA,CHAPE,GEOFO,PHACA,TAEGU
APAVI,BUCRH,CHAVO,GALGA,MERNU,PICPU
APAVI,BUCRH,CHAVO,CHLUN,MERNU,PICPU
CHAVO,CORBR,GEOFO,MANVI,NIPNI,TAEGU
CHLUN,COLLI,HALAL,HALLE,MESUN,PTEGU
EGRGA,MESUN,NIPNI,PELCR,STRCA,TINMA
CHAPE,CHLUN,COLLI,MESUN,PTEGU,TAUER
CALAN,CHAPE,GEOFO,MERNU,PICPU,TAEGU
APAVI,BUCRH,GAVST,MERNU,PELCR,PICPU
BALRE,CHAVO,EGRGA,EURHE,PELCR,PHALE
APTFO,BUCRH,CORBR,GEOFO,PYGAD,TAEGU
APAVI,BUCRH,CUCCA,MERNU,PHACA,PICPU
APTFO,BUCRH,COLLI,MESUN,PTEGU,PYGAD
COLLI,CORBR,MERNU,MESUN,PICPU,PTEGU
APAVI,BUCRH,CALAN,CARCR,MERNU,PICPU
APTFO,BUCRH,CALAN,CAPCA,CHAPE,PYGAD
BALRE,BUCRH,CALAN,CHAPE,MERNU,PICPU
CHLUN,CUCCA,GEOFO,PODCR,TAEGU,TAUER
BUCRH,GEOFO,MERNU,PICPU,TAEGU,TAUER
APAVI,BUCRH,CAPCA,MERNU,OPHHO,PICPU
CORBR,EGRGA,GEOFO,PELCR,STRCA,TAEGU
APTFO,BALRE,CHAVO,FULGL,NIPNI,PYGAD
CORBR,GEOFO,MANVI,PTEGU,TAEGU,TINMA
BUCRH,HALAL,HALLE,MERNU,PICPU,TYTAL
BALRE,BUCRH,CHAVO,LEPDI,MERNU,PICPU
CARCR,EGRGA,NIPNI,PELCR,STRCA,TINMA
BUCRH,CORBR,GEOFO,MANVI,NIPNI,TAEGU
ANAPL,GALGA,GEOFO,MELGA,PYGAD,TAEGU
CALAN,CAPCA,CHAPE,HALAL,HALLE,MELGA
HALAL,HALLE,MESUN,PTEGU,STRCA,TINMA
BALRE,CHAVO,MERNU,OPHHO,PHALE,PICPU
CHLUN,CORBR,GEOFO,MANVI,NIPNI,TAEGU
APTFO,BUCRH,GEOFO,MERNU,PICPU,TAEGU
APTFO,EGRGA,FULGL,LEPDI,PELCR,PYGAD
APTFO,EGRGA,FULGL,MELGA,PELCR,PYGAD
APAVI,BUCRH,CATAU,MANVI,MERNU,PICPU
BALRE,CHAVO,CORBR,GEOFO,TAEGU,TINMA
BALRE,CHAVO,EGRGA,MELUN,NESNO,PELCR
BUCRH,MERNU,PICPU,STRCA,TINMA,TYTAL
BALRE,CALAN,CHAPE,CHAVO,MANVI,OPHHO
CAPCA,CORBR,EGRGA,GEOFO,PELCR,TAEGU
BUCRH,CORBR,GEOFO,MANVI,PTEGU,TAEGU
BALRE,CHAVO,COLLI,MELUN,NESNO,OPHHO
HALAL,HALLE,MESUN,PHORU,PODCR,PTEGU
CAPCA,CATAU,HALAL,HALLE,PHORU,PODCR
CORBR,GEOFO,MELUN,MESUN,NESNO,TAEGU
BUCRH,CAPCA,EGRGA,NIPNI,PELCR,PHACA
BALRE,CHAPE,CORBR,GEOFO,MANVI,TAEGU
CALAN,CHAPE,EURHE,GALGA,MELGA,PHALE
APAVI,BUCRH,CARCR,MERNU,PHALE,PICPU
CATAU,EGRGA,HALAL,HALLE,MELUN,PELCR
APTFO,BALRE,CHAVO,FULGL,PYGAD,STRCA
CALAN,EGRGA,NIPNI,PELCR,PHACA,TINMA
CALAN,CATAU,CHAPE,EGRGA,NIPNI,PELCR
APTFO,EURHE,GEOFO,PHALE,PYGAD,TAEGU
CATAU,GALGA,HALAL,HALLE,MELGA,MERNU
COLST,CUCCA,EGRGA,NIPNI,PELCR,PHACA
CHLUN,CORBR,GEOFO,MANVI,TAEGU,TYTAL
CHAVO,CORBR,GEOFO,MANVI,OPHHO,TAEGU
CATAU,EURHE,HALAL,HALLE,MESUN,PHALE
BUCRH,MERNU,PHORU,PICPU,STRCA,TINMA
BUCRH,EGRGA,MERNU,OPHHO,PELCR,PICPU
APAVI,BUCRH,CHAVO,MERNU,NIPNI,PICPU
CHLUN,EGRGA,PELCR,STRCA,TAUER,TINMA
APTFO,COLST,FULGL,PHORU,PODCR,PYGAD
APAVI,BUCRH,GAVST,HALAL,MERNU,PICPU
APTFO,CALAN,CHAPE,FULGL,PELCR,PYGAD
ANAPL,APTFO,CORBR,GEOFO,PYGAD,TAEGU
CALAN,CAPCA,CHAPE,MERNU,PICPU,PYGAD
COLLI,CORBR,GALGA,MELGA,MESUN,PTEGU
BUCRH,CHLUN,CUCCA,EGRGA,PELCR,TAUER
EGRGA,HALAL,HALLE,NIPNI,PELCR,TINMA
ANAPL,CALAN,CHAPE,EURHE,GALGA,MELGA
ANAPL,APAVI,BALRE,CHAVO,GALGA,MELGA
APAVI,BUCRH,GALGA,MERNU,PICPU,TYTAL
BALRE,BUCRH,CHAVO,EGRGA,MERNU,PICPU
BALRE,CHAVO,HALAL,HALLE,LEPDI,OPHHO
APTFO,BALRE,CHAVO,MESUN,OPHHO,PTEGU
EGRGA,MELUN,NESNO,NIPNI,OPHHO,PELCR
BUCRH,EGRGA,NIPNI,PELCR,PHACA,STRCA
CHAVO,CHLUN,EGRGA,NIPNI,PELCR,PHACA
ANAPL,BALRE,CHAVO,GALGA,MELGA,PODCR
APAVI,COLLI,MERNU,MESUN,PICPU,PTEGU
CORBR,FULGL,GEOFO,MANVI,PHACA,TAEGU
CHAVO,CORBR,GEOFO,MANVI,NESNO,TAEGU
ANAPL,CORBR,GEOFO,MANVI,PODCR,TAEGU
BALRE,CHAVO,LEPDI,OPHHO,PHORU,PODCR
EURHE,GALGA,MELGA,PHALE,PHORU,PODCR
BUCRH,CATAU,MERNU,PICPU,STRCA,TINMA
CALAN,CAPCA,CHAPE,HALAL,HALLE,MELUN
COLST,CORBR,FALPE,GEOFO,MANVI,TAEGU
BALRE,CHAVO,CHLUN,OPHHO,TAEGU,TAUER
APAVI,BUCRH,COLLI,MANVI,MERNU,PICPU
CORBR,GEOFO,MANVI,MELGA,PHORU,TAEGU
BALRE,CATAU,CHAVO,COLLI,MESUN,PTEGU
BALRE,CARCR,CHAVO,OPHHO,PHORU,PODCR
CALAN,CHAPE,EGRGA,MERNU,PELCR,PICPU
BUCRH,CARCR,MERNU,PHORU,PICPU,PODCR
BALRE,EGRGA,EURHE,NIPNI,PELCR,PHACA
BALRE,CHAVO,CHLUN,OPHHO,PHALE,TAUER
APTFO,CATAU,CHLUN,CUCCA,PYGAD,TAUER
APTFO,EGRGA,MESUN,PELCR,PTEGU,PYGAD
CHLUN,CORBR,GEOFO,MESUN,TAEGU,TAUER
CHLUN,CUCCA,EGRGA,GALGA,PELCR,TAUER
CATAU,CORBR,GAVST,GEOFO,MANVI,TAEGU
CORBR,FULGL,GEOFO,MANVI,NIPNI,TAEGU
CATAU,GALGA,HALAL,HALLE,STRCA,TINMA
BALRE,CHAVO,HALLE,MELUN,NESNO,OPHHO
ANAPL,APAVI,BUCRH,MANVI,MERNU,PICPU
CATAU,EGRGA,NIPNI,PELCR,PHACA,TYTAL
BALRE,EGRGA,NESNO,NIPNI,PELCR,PHACA
ANAPL,BALRE,CAPCA,CHAVO,GALGA,MELGA
CHAPE,EGRGA,NIPNI,PELCR,PHACA,PICPU
CALAN,CHAPE,COLLI,MESUN,PHALE,PTEGU
EGRGA,FULGL,NIPNI,PELCR,PHACA,PTEGU
APTFO,CARCR,CHLUN,CUCCA,PYGAD,TAUER
ANAPL,EURHE,FALPE,GALGA,MELGA,PHALE
CORBR,GAVST,GEOFO,PHORU,PODCR,TAEGU
CATAU,CORBR,GALGA,GEOFO,MELGA,TAEGU
BUCRH,CORBR,GEOFO,MELUN,NESNO,TAEGU
CHLUN,CUCCA,MESUN,OPHHO,PTEGU,TAUER
APTFO,COLLI,FALPE,MESUN,PTEGU,PYGAD
COLST,CORBR,GEOFO,MANVI,OPHHO,TAEGU
CORBR,FALPE,GEOFO,MANVI,PYGAD,TAEGU
BALRE,BUCRH,CHAVO,HALAL,MERNU,PICPU
COLLI,MESUN,PHORU,PTEGU,STRCA,TINMA
BALRE,CHAVO,GEOFO,OPHHO,TAEGU,TAUER
APAVI,BUCRH,COLST,MERNU,PICPU,TAEGU
CHLUN,CUCCA,GALGA,HALLE,MELGA,TAUER
CALAN,CHAPE,EURHE,PHALE,STRCA,TINMA
EGRGA,MELUN,NIPNI,PELCR,PHACA,PTEGU
EGRGA,NIPNI,PELCR,PHACA,TAEGU,TYTAL
BALRE,CALAN,CATAU,CHAVO,HALAL,HALLE
BUCRH,EGRGA,MERNU,PELCR,PICPU,PODCR
APAVI,BUCRH,MERNU,PICPU,TINMA,TYTAL
EGRGA,GEOFO,MESUN,NIPNI,PELCR,PHACA
CORBR,GEOFO,MANVI,PELCR,PYGAD,TAEGU
CHLUN,CUCCA,FALPE,MELUN,NESNO,TAUER
COLLI,CORBR,GEOFO,MANVI,PELCR,TAEGU
CORBR,GEOFO,PHORU,STRCA,TAEGU,TINMA
APTFO,CATAU,CHLUN,HALAL,HALLE,TAUER
CORBR,GEOFO,MANVI,MESUN,TAEGU,TINMA
ANAPL,APAVI,BUCRH,HALAL,MERNU,PICPU
CHLUN,CUCCA,GALGA,HALAL,MELGA,TAUER
ANAPL,APTFO,EGRGA,GALGA,MELGA,PYGAD
CALAN,CAPCA,CHAPE,MELUN,PHORU,PODCR
ANAPL,CUCCA,GALGA,MELGA,MESUN,PTEGU
CHLUN,CUCCA,MERNU,PHORU,PICPU,TAUER
EGRGA,NIPNI,PELCR,PHACA,PODCR,TINMA
BUCRH,CHAVO,EURHE,MERNU,PHALE,PICPU
COLLI,FULGL,GALGA,MELGA,MESUN,PTEGU
CHLUN,COLST,CUCCA,EGRGA,PELCR,TAUER
ANAPL,GALGA,HALAL,HALLE,MELGA,TAEGU
CHLUN,CUCCA,HALAL,HALLE,LEPDI,TAUER
BALRE,CHAVO,HALAL,MERNU,OPHHO,PICPU
ANAPL,APTFO,GALGA,MELGA,MELUN,PYGAD
ANAPL,BALRE,CHAVO,CHLUN,GALGA,MELGA
APAVI,BUCRH,CORBR,FALPE,MERNU,PICPU
CATAU,HALAL,HALLE,MERNU,PICPU,PTEGU
CAPCA,EGRGA,MERNU,NIPNI,PELCR,PICPU
APAVI,BUCRH,CARCR,CHAPE,MERNU,PICPU
APTFO,CHLUN,FULGL,PYGAD,STRCA,TINMA
EURHE,MESUN,PHALE,PHORU,PODCR,PTEGU
APTFO,CALAN,CAPCA,CHAPE,PELCR,PYGAD
APAVI,BUCRH,CORBR,MERNU,PHORU,PICPU
BALRE,CHAVO,COLLI,GAVST,MESUN,PTEGU
BUCRH,GAVST,MELUN,MERNU,NESNO,PICPU
CALAN,CAPCA,CHAPE,CHLUN,HALLE,TAUER
CORBR,GEOFO,HALAL,MANVI,TAEGU,TAUER
CHLUN,CUCCA,EURHE,HALLE,PHALE,TAUER
APAVI,BUCRH,CALAN,FULGL,MERNU,PICPU
ANAPL,EGRGA,NIPNI,PELCR,PHACA,PICPU
APTFO,FULGL,MELUN,MESUN,PTEGU,PYGAD
APTFO,CORBR,GEOFO,PODCR,PYGAD,TAEGU
CHLUN,CUCCA,EURHE,PHORU,PODCR,TAUER
APAVI,BUCRH,CAPCA,HALLE,MERNU,PICPU
BALRE,COLLI,HALAL,HALLE,MESUN,PTEGU
CALAN,EGRGA,NESNO,NIPNI,PELCR,PHACA
EGRGA,GAVST,MANVI,NIPNI,PELCR,PHACA
CATAU,CHLUN,EGRGA,NIPNI,PELCR,TAUER
APAVI,BUCRH,CHLUN,MERNU,PICPU,TINMA
ANAPL,CHLUN,GALGA,MELGA,TAUER,TYTAL
BALRE,CATAU,CHAVO,OPHHO,STRCA,TINMA
BUCRH,CAPCA,CORBR,GEOFO,MANVI,TAEGU
BUCRH,CHLUN,FULGL,MERNU,PICPU,TAUER
APAVI,BUCRH,FALPE,MERNU,PELCR,PICPU
ANAPL,APAVI,BUCRH,CALAN,MERNU,PICPU
CATAU,CHAPE,EGRGA,HALAL,HALLE,PELCR
ANAPL,GALGA,GEOFO,MELGA,NIPNI,TAEGU
APTFO,BALRE,CHAVO,EURHE,FULGL,PYGAD
CALAN,CAPCA,CHAPE,GEOFO,PHORU,PODCR
CORBR,GEOFO,MERNU,PICPU,PYGAD,TAEGU
CATAU,HALAL,HALLE,MELUN,NESNO,TINMA
BUCRH,MELUN,MERNU,NESNO,PHALE,PICPU
APAVI,BUCRH,GEOFO,MERNU,NIPNI,PICPU
CATAU,HALAL,HALLE,MESUN,NESNO,PTEGU
EGRGA,NIPNI,OPHHO,PELCR,PHACA,PHORU
APAVI,BUCRH,MERNU,MESUN,PICPU,TAEGU
CALAN,CAPCA,CHAPE,NESNO,PHORU,PODCR
CATAU,HALAL,HALLE,MESUN,PHALE,PTEGU
BUCRH,CATAU,EGRGA,HALAL,HALLE,PELCR
EGRGA,FALPE,NIPNI,PELCR,PHACA,TAUER
CALAN,CHAPE,GALGA,MELGA,MELUN,NESNO
CALAN,CORBR,GEOFO,MANVI,TAEGU,TAUER
CARCR,CORBR,GEOFO,MANVI,NESNO,TAEGU
APAVI,BUCRH,CARCR,MERNU,PHACA,PICPU
BUCRH,CARCR,HALAL,HALLE,MERNU,PICPU
BUCRH,EGRGA,NIPNI,PELCR,PHACA,TAEGU
APTFO,EGRGA,FULGL,GEOFO,PYGAD,TAEGU
BUCRH,CALAN,CHAPE,LEPDI,MERNU,PICPU
CATAU,CHLUN,CUCCA,MESUN,PTEGU,TAUER
ANAPL,EURHE,GALGA,MELGA,NESNO,PHALE
BALRE,CHAVO,OPHHO,PHORU,PODCR,PYGAD
CORBR,GEOFO,MANVI,PHACA,STRCA,TAEGU
BUCRH,GAVST,MERNU,MESUN,PICPU,PTEGU
CATAU,EGRGA,NIPNI,PELCR,PHACA,PHALE
CHLUN,MESUN,PTEGU,STRCA,TAUER,TINMA
APTFO,COLST,FULGL,MERNU,PICPU,PYGAD
CHLUN,CUCCA,FALPE,MESUN,PTEGU,TAUER
APTFO,FULGL,GEOFO,PICPU,PYGAD,TAEGU
ANAPL,APTFO,GALGA,GEOFO,MELGA,PYGAD
APAVI,BALRE,CHAVO,MELUN,NESNO,OPHHO
BALRE,CHAVO,EURHE,PHALE,STRCA,TINMA
ANAPL,CATAU,HALAL,HALLE,PHORU,PODCR
HALAL,HALLE,MERNU,PICPU,STRCA,TINMA
COLLI,CORBR,GEOFO,MANVI,MELUN,TAEGU
APAVI,BUCRH,FULGL,MERNU,PICPU,TAEGU
BUCRH,MERNU,NESNO,PICPU,STRCA,TINMA
APAVI,BUCRH,EGRGA,HALLE,MERNU,PICPU
APAVI,CALAN,CAPCA,CHAPE,MESUN,PTEGU
COLST,CORBR,GEOFO,MANVI,MERNU,TAEGU
BALRE,CHAVO,HALAL,HALLE,OPHHO,PICPU
APAVI,BUCRH,GEOFO,MERNU,PHALE,PICPU
CAPCA,CORBR,GEOFO,MANVI,STRCA,TAEGU
BUCRH,HALAL,HALLE,LEPDI,MERNU,PICPU
CORBR,EURHE,GEOFO,MESUN,PHALE,TAEGU
EGRGA,HALAL,NIPNI,PELCR,PHACA,STRCA
ANAPL,EGRGA,HALAL,NIPNI,PELCR,PHACA
CORBR,GEOFO,HALLE,MANVI,PHALE,TAEGU
