Types	Targets	Data_type	Variant_type	CNT_gene	Gene_list	CNT_gobp	Average_p	GObp_list
NESNO,BUCRH,PELCR,EGRGA,NIPNI,PHACA_TAAS_conv	NESNO,BUCRH,PELCR,EGRGA,NIPNI,PHACA	TAAS	conv	1	XCL1	6	0.0493	GO:0035782(0.0493)_mature natural killer cell chemotaxis,GO:2000517(0.0493)_regulation of T-helper 1 cell activation,GO:2000518(0.0493)_negative regulation of T-helper 1 cell activation,GO:0035746(0.0493)_granzyme A production,GO:2000511(0.0493)_regulation of granzyme A production,GO:2000513(0.0493)_positive regulation of granzyme A production
NESNO,HALLE,HALAL,CATAU,MESUN,PTEGU_TAAS_conv	NESNO,HALLE,HALAL,CATAU,MESUN,PTEGU	TAAS	conv	1	SYK	4	0.0493	GO:0042223(0.0493)_interleukin-3 biosynthetic process,GO:0045399(0.0493)_regulation of interleukin-3 biosynthetic process,GO:0032752(0.0493)_positive regulation of interleukin-3 production,GO:0045401(0.0493)_positive regulation of interleukin-3 biosynthetic process
NESNO,MERNU,PICPU,BUCRH,TINMA,STRCA_TAAS_conv	NESNO,MERNU,PICPU,BUCRH,TINMA,STRCA	TAAS	conv	2	FSTL4,GLE1	1	0.0498	GO:0031549(0.0498)_negative regulation of brain-derived neurotrophic factor receptor signaling pathway
PELCR,EGRGA,NIPNI,PHACA,PHALE,PTEGU_TAAS_conv	PELCR,EGRGA,NIPNI,PHACA,PHALE,PTEGU	TAAS	conv	2	DPY19L3,ANKZF1	1	0.0498	GO:0072671(0.0498)_mitochondria-associated ubiquitin-dependent protein catabolic process
PHACA,MESUN,PTEGU,GALGA,MELGA,ANAPL_TAAS_conv	PHACA,MESUN,PTEGU,GALGA,MELGA,ANAPL	TAAS	conv	2	LRPPRC,ACD	2	0.0498	GO:0060380(0.0498)_regulation of single-stranded telomeric DNA binding,GO:0060381(0.0498)_positive regulation of single-stranded telomeric DNA binding
PICPU,CALAN,CHAPE,GALGA,MELGA,ANAPL_TAAS_conv	PICPU,CALAN,CHAPE,GALGA,MELGA,ANAPL	TAAS	conv	7	DIEXF,PTX3,MPST,RP1,ADA,DLL1,SNX25	2	0.03435	GO:0002335(0.041)_mature B cell differentiation,GO:0002313(0.0277)_mature B cell differentiation involved in immune response
PICPU,FULGL,PYGAD,APTFO,CALAN,CHAPE_TAAS_conv	PICPU,FULGL,PYGAD,APTFO,CALAN,CHAPE	TAAS	conv	1	EIF2AK4	1	0.0493	GO:0039520(0.0493)_induction by virus of host autophagy
PICPU,PYGAD,APTFO,CALAN,CHAPE,CAPCA_TAAS_conv	PICPU,PYGAD,APTFO,CALAN,CHAPE,CAPCA	TAAS	conv	1	RHO	2	0.0493	GO:0016037(0.0493)_light absorption,GO:0016038(0.0493)_absorption of visible light
TAEGU,GEOFO,CORBR,FULGL,CALAN,CHAPE_TAAS_conv	TAEGU,GEOFO,CORBR,FULGL,CALAN,CHAPE	TAAS	conv	3	FICD,OTUD4,PADI2	2	0.01915	GO:0060761(0.0205)_negative regulation of response to cytokine stimulus,GO:0001960(0.0178)_negative regulation of cytokine-mediated signaling pathway
TAEGU,GEOFO,CORBR,LEPDI,CHLUN,TAUER_TAAS_conv	TAEGU,GEOFO,CORBR,LEPDI,CHLUN,TAUER	TAAS	conv	1	PAM	1	0.0493	GO:0018032(0.0493)_protein amidation
TAEGU,GEOFO,CORBR,MANVI,APAVI,PHALE_TAAS_conv	TAEGU,GEOFO,CORBR,MANVI,APAVI,PHALE	TAAS	conv	2	CFLAR,CCPG1	2	0.0498	GO:1903943(0.0498)_regulation of hepatocyte apoptotic process,GO:1903944(0.0498)_negative regulation of hepatocyte apoptotic process
TAEGU,GEOFO,CORBR,MANVI,CUCCA,COLLI_TAAS_conv	TAEGU,GEOFO,CORBR,MANVI,CUCCA,COLLI	TAAS	conv	40	CLCN1,LPAR3,PTH3R,GSG1,TDRD9,SEC24A,CKAP5,ENSGALT00000021807,CREM,DNAH1,USH1C,TANC1,DERA,F13A1,LIN9,RP1,EMSY,MCM4,ODF2L,ENSGALT00000041274,TMEM131L,EXOSC9,CABIN1,NAB1,RPAP3,NPHP3,CCP110,CFAP47,ACSBG2,PHC1,PAPPA,ARSE,SCAF4,ERCC6,PPM1G,OFD1,ADAM12,PAPD7,ENSGALT00000031424,TNFRSF1B	6	0.011096667	GO:0044782(0.0107)_cilium organization,GO:0030031(0.0138)_cell projection assembly,GO:0120031(0.0127)_plasma membrane bounded cell projection assembly,GO:0060271(0.00875)_cilium assembly,GO:0001895(0.0194)_retina homeostasis,GO:0045494(0.00123)_photoreceptor cell maintenance
TAEGU,GEOFO,CORBR,MANVI,MELUN,COLLI_TAAS_conv	TAEGU,GEOFO,CORBR,MANVI,MELUN,COLLI	TAAS	conv	24	PDHA1,SLC16A4,ENSGALT00000031351,TNRC6A,LYSMD3,AIPL1,PPFIA1,NPNT,SPDYA,ANKEF1,MORN3,TMEM189,ATP7A,SDC3,TIGAR,CDHR2,USP49,IQCH,TIMM44,PAPOLG,ATP6V1C2,CEP350,CEP290,TRIM24	1	0.0199	GO:0071279(0.0199)_cellular response to cobalt ion
TAEGU,GEOFO,CORBR,MANVI,PHACA,CHAVO_TAAS_conv	TAEGU,GEOFO,CORBR,MANVI,PHACA,CHAVO	TAAS	conv	5	BRCA2,KIAA1551,LIG4,ENSGALT00000030545,EIF4ENIF1	2	0.01185	GO:0010165(0.0065)_response to X-ray,GO:0010332(0.0172)_response to gamma radiation
TAEGU,GEOFO,CORBR,MANVI,PICPU,CAPCA_TAAS_conv	TAEGU,GEOFO,CORBR,MANVI,PICPU,CAPCA	TAAS	conv	17	FAM135B,TPO,MED1,SYCP1,C18orf63,MED13L,CFAP58,LRRN2,ODF2L,TRPC7,SH3TC1,MUM1,CFLAR,TMEM71,FNDC9,ACSM3,SRRD	1	0.0288	GO:2000347(0.0288)_positive regulation of hepatocyte proliferation
TAEGU,GEOFO,CORBR,MANVI,PYGAD,PHALE_TAAS_conv	TAEGU,GEOFO,CORBR,MANVI,PYGAD,PHALE	TAAS	conv	3	ENSGALT00000036964,NUDT12,MATN2	2	0.0498	GO:0019677(0.0498)_NAD catabolic process,GO:0031104(0.0498)_dendrite regeneration
TAEGU,GEOFO,CORBR,MELUN,NESNO,BALRE_TAAS_conv	TAEGU,GEOFO,CORBR,MELUN,NESNO,BALRE	TAAS	conv	11	SLC25A37,SFI1,CD101,UGDH,F13A1,MYO7B,GHR,ZCCHC11,METTL25,TMEM207,MDH1B	1	0.0294	GO:0006107(0.0294)_oxaloacetate metabolic process
TAEGU,GEOFO,CORBR,MELUN,NESNO,CALAN_TAAS_conv	TAEGU,GEOFO,CORBR,MELUN,NESNO,CALAN	TAAS	conv	25	XPC,DRD5,DNAH3,IBA57,TANC1,DERA,SCAMP2,IBSP,PIK3R4,ZBTB49,LRRN4,FBXO48,ENSGALT00000036845,FGFBP1,SESN1,C8B,MTFR1,SMPD3,URB2,HMGXB3,ENSGALT00000033009,FNDC1,B3GNT2,TDP2,PRKAR2B	1	0.042	GO:0007612(0.042)_learning
TAEGU,GEOFO,CORBR,MESUN,PTEGU,MELGA_TAAS_conv	TAEGU,GEOFO,CORBR,MESUN,PTEGU,MELGA	TAAS	conv	1	CDHR2	1	0.0493	GO:0060243(0.0493)_negative regulation of cell growth involved in contact inhibition
TAEGU,GEOFO,CORBR,PYGAD,APTFO,CHAVO_TAAS_conv	TAEGU,GEOFO,CORBR,PYGAD,APTFO,CHAVO	TAAS	conv	2	RNF180,N4BP1	4	0.0338	GO:0031396(0.0459)_regulation of protein ubiquitination,GO:0061136(0.0402)_regulation of proteasomal protein catabolic process,GO:2000058(0.0293)_regulation of ubiquitin-dependent protein catabolic process,GO:0032434(0.0198)_regulation of proteasomal ubiquitin-dependent protein catabolic process
TAEGU,GEOFO,CUCCA,GALGA,MELGA,ANAPL_TAAS_conv	TAEGU,GEOFO,CUCCA,GALGA,MELGA,ANAPL	TAAS	conv	3	MYD88,GEMIN5,TLR7	10	0.0208916	GO:0071260(0.0348)_cellular response to mechanical stimulus,GO:0032481(0.0219)_positive regulation of type I interferon production,GO:0045351(0.000766)_type I interferon biosynthetic process,GO:0002755(0.00772)_MyD88-dependent toll-like receptor signaling pathway,GO:0032602(0.0394)_chemokine production,GO:0032642(0.033)_regulation of chemokine production,GO:0032722(0.0172)_positive regulation of chemokine production,GO:0042108(0.0191)_positive regulation of cytokine biosynthetic process,GO:0034162(0.00293)_toll-like receptor 9 signaling pathway,GO:0032755(0.0321)_positive regulation of interleukin-6 production
TAEGU,GEOFO,TAUER,GALGA,MELGA,ANAPL_TAAS_conv	TAEGU,GEOFO,TAUER,GALGA,MELGA,ANAPL	TAAS	conv	2	TYMS,PALB2	1	0.0498	GO:0019088(0.0498)_immortalization of host cell by virus
CALAN,CHAPE,CAPCA,PHORU,PODCR,STRCA_TAAS_div	CALAN,CHAPE,CAPCA,PHORU,PODCR,STRCA	TAAS	div	3	FNIP1,NFKB1,AGT	8	0.0083475	GO:0090077(0.0073)_foam cell differentiation,GO:0010742(0.0073)_macrophage derived foam cell differentiation,GO:0010743(0.00504)_regulation of macrophage derived foam cell differentiation,GO:0010744(0.00158)_positive regulation of macrophage derived foam cell differentiation,GO:1990776(0.004379999999999999)_response to angiotensin,GO:1904385(0.0034799999999999996)_cellular response to angiotensin,GO:0071496(0.0029)_cellular response to external stimulus,GO:0071260(0.0348)_cellular response to mechanical stimulus
CATAU,CHAVO,BALRE,OPHHO,TINMA,STRCA_TAAS_div	CATAU,CHAVO,BALRE,OPHHO,TINMA,STRCA	TAAS	div	2	MTRR,GPR183	3	0.0498	GO:0036145(0.0498)_dendritic cell homeostasis,GO:1904041(0.0498)_regulation of cystathionine beta-synthase activity,GO:1904042(0.0498)_negative regulation of cystathionine beta-synthase activity
CHLUN,TAUER,PHORU,PODCR,TINMA,STRCA_TAAS_div	CHLUN,TAUER,PHORU,PODCR,TINMA,STRCA	TAAS	div	5	NCOR1,DIS3L,EVC2,SLC35F4,HIPK3	1	0.0384	GO:0046329(0.0384)_negative regulation of JNK cascade
COLST,HALLE,HALAL,CATAU,MESUN,PTEGU_TAAS_div	COLST,HALLE,HALAL,CATAU,MESUN,PTEGU	TAAS	div	4	SYK,ODF2,KIAA1377,ENSGALT00000014850	4	0.0498	GO:0042223(0.0498)_interleukin-3 biosynthetic process,GO:0045399(0.0498)_regulation of interleukin-3 biosynthetic process,GO:0032752(0.0498)_positive regulation of interleukin-3 production,GO:0045401(0.0498)_positive regulation of interleukin-3 biosynthetic process
COLST,HALLE,HALAL,CHLUN,TAUER,CUCCA_TAAS_div	COLST,HALLE,HALAL,CHLUN,TAUER,CUCCA	TAAS	div	1	PAM	1	0.0493	GO:0018032(0.0493)_protein amidation
COLST,HALLE,HALAL,FULGL,PYGAD,APTFO_TAAS_div	COLST,HALLE,HALAL,FULGL,PYGAD,APTFO	TAAS	div	1	ALK	1	0.0493	GO:0090648(0.0493)_response to environmental enrichment
FALPE,PELCR,EGRGA,NIPNI,PHACA,TAUER_TAAS_div	FALPE,PELCR,EGRGA,NIPNI,PHACA,TAUER	TAAS	div	3	SLC9A4,CDHR2,FASN	1	0.0432	GO:0030855(0.0432)_epithelial cell differentiation
FULGL,PYGAD,APTFO,CHAVO,MESUN,PTEGU_TAAS_div	FULGL,PYGAD,APTFO,CHAVO,MESUN,PTEGU	TAAS	div	1	CDHR2	1	0.0493	GO:0060243(0.0493)_negative regulation of cell growth involved in contact inhibition
FULGL,PYGAD,APTFO,PHALE,EURHE,TAUER_TAAS_div	FULGL,PYGAD,APTFO,PHALE,EURHE,TAUER	TAAS	div	1	SUGT1	2	0.0493	GO:0043946(0.0493)_positive regulation of catalytic activity in other organism involved in symbiotic interaction,GO:0043947(0.0493)_positive regulation by host of symbiont catalytic activity
GEOFO,CALAN,CHAPE,CAPCA,CHLUN,TAUER_TAAS_div	GEOFO,CALAN,CHAPE,CAPCA,CHLUN,TAUER	TAAS	div	2	PAM,CAPN8	1	0.0498	GO:0018032(0.0498)_protein amidation
GEOFO,PICPU,PELCR,EGRGA,NIPNI,PHACA_TAAS_div	GEOFO,PICPU,PELCR,EGRGA,NIPNI,PHACA	TAAS	div	2	CFAP54,TNFRSF8	6	0.0498	GO:0032639(0.0498)_TRAIL production,GO:0032679(0.0498)_regulation of TRAIL production,GO:0045553(0.0498)_TRAIL biosynthetic process,GO:0045554(0.0498)_regulation of TRAIL biosynthetic process,GO:0032759(0.0498)_positive regulation of TRAIL production,GO:0045556(0.0498)_positive regulation of TRAIL biosynthetic process
HALLE,HALAL,CATAU,CUCCA,PHORU,PODCR_TAAS_div	HALLE,HALAL,CATAU,CUCCA,PHORU,PODCR	TAAS	div	3	WRN,LRRC45,ENSGALT00000025405	2	0.0498	GO:0060542(0.0498)_regulation of strand invasion,GO:0098530(0.0498)_positive regulation of strand invasion
HALLE,HALAL,CATAU,EGRGA,CHLUN,TAUER_TAAS_div	HALLE,HALAL,CATAU,EGRGA,CHLUN,TAUER	TAAS	div	2	MTFMT,USF3	2	0.0498	GO:0019988(0.0498)_charged-tRNA amino acid modification,GO:0071951(0.0498)_conversion of methionyl-tRNA to N-formyl-methionyl-tRNA
HALLE,HALAL,CATAU,MESUN,PTEGU,ANAPL_TAAS_div	HALLE,HALAL,CATAU,MESUN,PTEGU,ANAPL	TAAS	div	6	SYK,IFNGR1,ENSGALT00000003167,STK10,CFLAR,HCLS1	2	0.03685	GO:0042327(0.0401)_positive regulation of phosphorylation,GO:0001934(0.0336)_positive regulation of protein phosphorylation
HALLE,HALAL,CATAU,PELCR,EGRGA,CHAPE_TAAS_div	HALLE,HALAL,CATAU,PELCR,EGRGA,CHAPE	TAAS	div	1	ASPM	1	0.0493	GO:0045769(0.0493)_negative regulation of asymmetric cell division
HALLE,HALAL,CATAU,PELCR,EGRGA,COLLI_TAAS_div	HALLE,HALAL,CATAU,PELCR,EGRGA,COLLI	TAAS	div	2	ASPM,SAMHD1	1	0.0498	GO:0045769(0.0498)_negative regulation of asymmetric cell division
HALLE,HALAL,CATAU,PYGAD,GALGA,MELGA_TAAS_div	HALLE,HALAL,CATAU,PYGAD,GALGA,MELGA	TAAS	div	7	ZNF830,IBSP,BMP2K,BBX,TTF2,BLM,USO1	2	0.018705	GO:2000104(0.034)_negative regulation of DNA-dependent DNA replication,GO:0048478(0.0034100000000000003)_replication fork protection
HALLE,HALAL,FULGL,PYGAD,APTFO,CHAPE_TAAS_div	HALLE,HALAL,FULGL,PYGAD,APTFO,CHAPE	TAAS	div	2	AHI1,ASPM	7	0.0498	GO:0030862(0.0498)_positive regulation of polarized epithelial cell differentiation,GO:0039022(0.0498)_pronephric duct development,GO:0039023(0.0498)_pronephric duct morphogenesis,GO:0070121(0.0498)_Kupffer's vesicle development,GO:0039007(0.0498)_pronephric nephron morphogenesis,GO:0039008(0.0498)_pronephric nephron tubule morphogenesis,GO:0045769(0.0498)_negative regulation of asymmetric cell division
HALLE,HALAL,FULGL,PYGAD,APTFO,PHALE_TAAS_div	HALLE,HALAL,FULGL,PYGAD,APTFO,PHALE	TAAS	div	2	AHI1,ANLN	8	0.0498	GO:0039007(0.0498)_pronephric nephron morphogenesis,GO:0039008(0.0498)_pronephric nephron tubule morphogenesis,GO:0039022(0.0498)_pronephric duct development,GO:0039023(0.0498)_pronephric duct morphogenesis,GO:0031106(0.0498)_septin ring organization,GO:0000921(0.0498)_septin ring assembly,GO:0030862(0.0498)_positive regulation of polarized epithelial cell differentiation,GO:0070121(0.0498)_Kupffer's vesicle development
HALLE,HALAL,FULGL,PYGAD,APTFO,TINMA_TAAS_div	HALLE,HALAL,FULGL,PYGAD,APTFO,TINMA	TAAS	div	2	AHI1,CCDC141	6	0.0493	GO:0070121(0.0493)_Kupffer's vesicle development,GO:0030862(0.0493)_positive regulation of polarized epithelial cell differentiation,GO:0039007(0.0493)_pronephric nephron morphogenesis,GO:0039008(0.0493)_pronephric nephron tubule morphogenesis,GO:0039022(0.0493)_pronephric duct development,GO:0039023(0.0493)_pronephric duct morphogenesis
HALLE,HALAL,PELCR,EGRGA,NIPNI,APTFO_TAAS_div	HALLE,HALAL,PELCR,EGRGA,NIPNI,APTFO	TAAS	div	1	SETX	7	0.0493	GO:0030846(0.0493)_termination of RNA polymerase II transcription, poly(A)-coupled,GO:0031554(0.0493)_regulation of DNA-templated transcription, termination,GO:1904594(0.0493)_regulation of termination of RNA polymerase II transcription,GO:2000804(0.0493)_regulation of termination of RNA polymerase II transcription, poly(A)-coupled,GO:0060566(0.0493)_positive regulation of DNA-templated transcription, termination,GO:1904595(0.0493)_positive regulation of termination of RNA polymerase II transcription,GO:2000806(0.0493)_positive regulation of termination of RNA polymerase II transcription, poly(A)-coupled
HALLE,HALAL,PELCR,EGRGA,NIPNI,PODCR_TAAS_div	HALLE,HALAL,PELCR,EGRGA,NIPNI,PODCR	TAAS	div	1	TNIP1	1	0.0493	GO:0085032(0.0493)_modulation by symbiont of host I-kappaB kinase/NF-kappaB cascade
HALLE,PHORU,PODCR,GALGA,MELGA,ANAPL_TAAS_div	HALLE,PHORU,PODCR,GALGA,MELGA,ANAPL	TAAS	div	2	ENSGALT00000012188,ANO9	1	0.0493	GO:1902939(0.0493)_negative regulation of intracellular calcium activated chloride channel activity
LEPDI,HALLE,HALAL,GALGA,MELGA,ANAPL_TAAS_div	LEPDI,HALLE,HALAL,GALGA,MELGA,ANAPL	TAAS	div	29	CENPC1,BRCA2,KRT15,METTL16,HSF2,PHYH,ENSGALT00000040506,DUSP27,HEYL,TERF2,KCTD18,ARMC4,RGSL1,IL13RA1,BARD1,CXorf57,CASP8AP2,ADGRG1,BMP2K,GLIPR1,EFHB,MUM1,PMS2,SYCP2L,ENSGALT00000039549,ORC1,NBN,FGB,ENSGALT00000027531	3	0.029213333	GO:0006259(0.04)_DNA metabolic process,GO:0006260(0.041)_DNA replication,GO:0006281(0.006640000000000001)_DNA repair
MANVI,MERNU,PICPU,BUCRH,APAVI,CHLUN_TAAS_div	MANVI,MERNU,PICPU,BUCRH,APAVI,CHLUN	TAAS	div	5	ABCA12,ARNT,ATP7A,PDPR,MXRA5	3	0.016510333	GO:0048286(0.0475)_lung alveolus development,GO:0006140(0.00114)_regulation of nucleotide metabolic process,GO:1900542(0.000891)_regulation of purine nucleotide metabolic process
MANVI,PELCR,EGRGA,NIPNI,PHACA,GAVST_TAAS_div	MANVI,PELCR,EGRGA,NIPNI,PHACA,GAVST	TAAS	div	2	SPON2,CD86	8	0.03569875	GO:0002699(0.043)_positive regulation of immune effector process,GO:0071706(0.0195)_tumor necrosis factor superfamily cytokine production,GO:1903555(0.0179)_regulation of tumor necrosis factor superfamily cytokine production,GO:0032681(0.0498)_regulation of lymphotoxin A production,GO:1903557(0.00599)_positive regulation of tumor necrosis factor superfamily cytokine production,GO:0032761(0.0498)_positive regulation of lymphotoxin A production,GO:0043016(0.0498)_regulation of lymphotoxin A biosynthetic process,GO:0043017(0.0498)_positive regulation of lymphotoxin A biosynthetic process
MELUN,HALLE,HALAL,CALAN,CHAPE,CAPCA_TAAS_div	MELUN,HALLE,HALAL,CALAN,CHAPE,CAPCA	TAAS	div	8	ENSGALT00000003179,BRCA2,MARF1,STIL,DCDC2,RP1,CHGB,NCAPD2	2	0.0383	GO:1902115(0.0332)_regulation of organelle assembly,GO:1903046(0.0434)_meiotic cell cycle process
MELUN,HALLE,HALAL,CATAU,MESUN,PTEGU_TAAS_div	MELUN,HALLE,HALAL,CATAU,MESUN,PTEGU	TAAS	div	2	WRN,CXorf57	5	0.028074	GO:0000018(0.007670000000000001)_regulation of DNA recombination,GO:0060542(0.0498)_regulation of strand invasion,GO:0098530(0.0498)_positive regulation of strand invasion,GO:0000725(0.0167)_recombinational repair,GO:0000724(0.0164)_double-strand break repair via homologous recombination
MELUN,NESNO,BALRE,MESUN,PTEGU,COLLI_TAAS_div	MELUN,NESNO,BALRE,MESUN,PTEGU,COLLI	TAAS	div	1	LGALS8	1	0.0493	GO:1904977(0.0493)_lymphatic endothelial cell migration
MELUN,NESNO,CHAVO,GALGA,MELGA,ANAPL_TAAS_div	MELUN,NESNO,CHAVO,GALGA,MELGA,ANAPL	TAAS	div	35	FADS1,BRCA2,ZNF106,STXBP3,ENSGALT00000021316,SSH1,RAD50,STK36,OMA1,DIS3L,FRMD4B,ENSGALT00000040271,C5orf42,FSHB,ASPH,CD44,RBM48,IGSF5,SETX,XKR9,MTMR9,GPR183,PTPRZ1,CWC22,SYCP2L,DNA2,PARP9,TICAM1,STAGL,TERT,TNS3,ZCCHC8,ENSGALT00000027531,DCP2,SYCP2	3	0.013776667	GO:0022616(0.0186)_DNA strand elongation,GO:0032200(0.0136)_telomere organization,GO:0000723(0.00913)_telomere maintenance
MELUN,NESNO,GALGA,MELGA,ANAPL,TINMA_TAAS_div	MELUN,NESNO,GALGA,MELGA,ANAPL,TINMA	TAAS	div	105	TTI1,TRIOBP,XPC,MILR1,GSC2,HABP2,SGOL2,NFXL1,ADORA3,TNR,EGF,ABCG8,NPY2R,SFI1,ENSGALT00000039994,APOB,KNDC1,FOXRED2,ASMTL,HMCES,LTV1,OMA1,CASC5,KCTD18,TRANK1,CHRM3,GOLM1,TMEM131,MLH3,ARHGAP31,STRA8,BCL9L,ENSGALT00000018019,MYO7B,PATL2,PDCD2,ERP27,LRRN4,ENSGALT00000007377,RMI1,ENSGALT00000007125,NDUFAF1,SH3BP2,ETNPPL,AKR1B10L2,FDXACB1,FUT7,SETD9,C14orf37,RALGDS,GPR35,ADAP2,ZHX3,POT1,TRAFD1,ENSGALT00000022239,SLX4IP,ADGRG1,C15ORF23,CYP46A1,CFAP100,MAEL,UROS,HYKK,THUMPD3,SETX,ENSGALT00000002439,EFCAB7,XRCC5,ENSGALT00000038613,TLR15,THAP5,CD40LG,EXD2,GTSE1,ABCG5,ZNF217,RNF168,COG1,EPS15,TTBK1,FAM124B,PALMD,ALPK1,ACD,NSRP1,PARP9,PKDCC,AKAP12,TNS3,ITGA11,C1R,SLC9A5,RXRG,SYNM,IQUB,ENSGALT00000026420,ENSGALT00000027531,MXRA5,CGAS,DCP2,CAPN13,SYCP2,AATF,TBC1D24	4	0.0479	GO:0060752(0.0479)_intestinal phytosterol absorption,GO:1904730(0.0479)_negative regulation of intestinal lipid absorption,GO:0010949(0.0479)_negative regulation of intestinal phytosterol absorption,GO:0045796(0.0479)_negative regulation of intestinal cholesterol absorption
MELUN,NESNO,HALLE,HALAL,CATAU,CUCCA_TAAS_div	MELUN,NESNO,HALLE,HALAL,CATAU,CUCCA	TAAS	div	6	WWC2,WRN,USP6NL,PPP2R3A,NCAPD3,TP53BP1	1	0.05	GO:0045911(0.05)_positive regulation of DNA recombination
MELUN,NESNO,MERNU,PICPU,BUCRH,GAVST_TAAS_div	MELUN,NESNO,MERNU,PICPU,BUCRH,GAVST	TAAS	div	11	ENSGALT00000012014,SYCP1,MPP3,CA4,SETX,PKD1L3,RAB11FIP5,SMARCAD1,FAN1,MYSM1,TP53BP1	5	0.0159124	GO:0006974(0.046)_cellular response to DNA damage stimulus,GO:0006281(0.0055)_DNA repair,GO:0006302(0.00551)_double-strand break repair,GO:0006310(0.000152)_DNA recombination,GO:0071468(0.0224)_cellular response to acidic pH
MELUN,NESNO,PELCR,EGRGA,NIPNI,FULGL_TAAS_div	MELUN,NESNO,PELCR,EGRGA,NIPNI,FULGL	TAAS	div	1	AZIN2	1	0.0493	GO:0098629(0.0493)_trans-Golgi network membrane organization
MELUN,NESNO,PICPU,CHLUN,TAUER,CUCCA_TAAS_div	MELUN,NESNO,PICPU,CHLUN,TAUER,CUCCA	TAAS	div	2	CFAP54,ANO9	1	0.0498	GO:1902939(0.0498)_negative regulation of intracellular calcium activated chloride channel activity
