OrthologID	Updated_symbol_20180424
405	TBL1XR1
409	GTF2IRD1
410	MAP2K2
413	PDCL
415	ZNF652
417	SRRM1
418	SLC35G2
421	IGF2BP1
422	SCLY
423	RFC2
424	GIP
426	SNF8
427	TRNAU1AP
429	PTGS1
432	CAMK1G
435	ATP5MC1
436	RBL1
437	MRRF
438	RBM18
444	ARL2BP
446	CLK3
447	MYBBP1A
448	ENSGALT00000002086
449	HSD11B1
451	SLC35E2B
453	ARID3B
461	SEMA7A
464	DAB2IP
466	SNX19
467	WDR77
470	GSN
475	ADORA3
477	STOML1
480	ZAP70
481	SSU72
482	NCAPD3
483	PPM1F
484	UTP11
485	PTTG1
488	ENSGALT00000002304
489	FHL3
492	CTTNBP2NL
493	THYN1
494	FN3KRP
496	ARHGAP39
497	ST7L
498	SF3A3
499	MRPL20
504	CCNL2
505	ACAD8
507	MXRA8
508	WDR45B
510	NT5DC2
511	NFS1
512	P2RX1
514	FOXK2
515	TRAF1
516	MRPL40
518	ENSGALT00000002416
519	MLLT1
520	PSMB3
521	ENSGALT00000002439
524	PIP4K2B
525	MAN2C1
526	CAMKK1
527	CWC25
533	EDC4
534	PSMD5
536	MTF1
549	FBXL20
550	SEPT5
551	INTS11
553	SAG
557	MED1
559	PPCDC
560	UBAC1
563	NUP88
565	ENSGALT00000002639
569	DGKD
570	CDK12
572	LRIG2
574	REC114
575	MAT2B
576	SFMBT1
580	TMEM208
581	ACAP3
582	MAPK8IP3
583	NEO1
587	ADPGK
589	METTL23
592	BBS4
596	CTCF
598	FAM13C
599	WWC1
600	EEF2
601	PHYHIPL
602	SCNN1D
604	ROGDI
605	PHTF1
611	SDF4
617	CYGB
619	PANK3
620	MISP
621	WAPL
622	SNAPC4
627	GNB1L
629	OPN4
631	MYO7B
632	HEXA
633	RFT1
634	ENSGALT00000003015
635	PMPCA
636	FAM102B
639	HENMT1
640	ACSM5
641	PTBP1
642	INPP5E
643	UBE2O
644	TRIM33
646	MED16
648	RAB40C
653	STXBP3
657	GPR139
659	TMEM259
661	ENSGALT00000003167
662	DENND2C
663	WDR33
664	RHBDD2
665	SRP68
670	DGCR8
671	MYO9A
674	AMPD1
675	NAGPA
676	ZDHHC1
677	TRMT2A
678	CHMP4B
682	TSTD2
684	VPS35L
686	PLEKHN1
687	WDR47
688	NPRL2
692	ANKLE2
693	GABRP
695	GOLGA3
697	PATL2
699	PTPRC
700	MRPL38
702	ACSM3
703	PPL
705	FBRSL1
710	RAD51D
711	ERI2
712	NOC2L
715	UNC13D
717	AGO3
721	ETF1
722	OGDHL
724	UNK
725	MAPKAPK3
729	LRIT1
730	ADPRHL2
732	NUBP2
733	TRIP4
736	EP400
737	ASPM
740	CLSPN
741	PMS1
742	DNAH3
744	NRG3
745	CDO1
746	HSPA9
747	SEC16A
748	F13B
749	PSMB2
751	NIPSNAP2
755	ENSGALT00000003778
756	ULK1
760	EXOSC3
761	TPGS2
763	SLC40A1
764	DUOX2
771	ENSGALT00000003871
773	SUMF2
774	SLC2A5
778	GPR157
781	CRYM
782	RNF123
784	H6PD
786	RHOT2
789	TROVE2
792	SYCP1
795	SLC25A33
799	UCHL5
801	TMEM201
812	CFAP70
815	ARAP3
816	RGS4
818	STARD10
820	PIK3CD
825	U2SURP
826	ENSGALT00000004119
828	TMEM248
829	CALCR
832	PIWIL1
835	NCBP3
838	PCYOX1L
842	HSD17B7
843	BRD3
844	DECR2
849	FAM149B1
850	STK11
851	DUSP19
852	VAV2
854	LINGO1
855	IPMK
858	XPO6
859	TMCO1
860	AQP5
862	KIF1B
863	UHMK1
864	INPP5K
866	NCKAP1
868	RFWD3
869	SIRT1
870	ATP1B3
871	NBR1
877	PDXDC1
878	PGD
879	RND2
880	LMAN1
883	STK10
885	DFFA
888	NUDT3
890	NTAN1
893	SEC11C
895	RFNG
898	RASA2
903	LEMD2
907	LRRC45
908	CREBRF
910	BNIP1
914	STC2
915	PACS2
916	ENPP1
917	NOTUM
918	TRAIP
919	BOD1
920	GSPT1
921	BRI3BP
923	TRIP12
924	ETFA
925	DBH
926	CPPED1
930	SHISA9
931	MSX2
936	DHX37
938	MAU2
940	SPHKAP
941	CNTD1
942	ERCC4
947	SUGP1
952	SERPINF1
953	COX11
954	SCARB1
956	ARMC6
958	ADAMTS13
959	TMEM26
960	STXBP4
961	SS2
962	FAM78B
965	SRM
966	PXMP4
969	SUGP2
974	HLF
975	MRPL44
976	EZH1
977	OGFOD1
979	FASLG
980	MMD
983	EXOSC10
984	PARN
985	ERLIN2
987	CBFA2T2
988	PLPBP
989	PINK1
990	ENSGALT00000004910
991	BFAR
994	NCOR2
995	ZFAND2A
996	RAB11FIP1
997	IKZF2
1000	CCDC92
1001	TRPC4AP
1004	ENSGALT00000004988
1005	COPE
1006	TXNDC11
1009	COIL
1013	CCDC6
1014	MTMR12
1015	DNAH10
1016	IREB2
1020	TSR1
1021	BAK1
1022	SCPEP1
1024	CRABP1
1025	ATP6V0A2
1026	TCTN2
1027	UPF1
1028	HSF4
1029	OARD1
1030	ASH2L
1035	STAR
1036	CWF19L1
1037	DNAJA4
1038	EIF2B1
1039	DDHD2
1040	PLPP5
1042	KHDRBS1
1043	COMP
1044	CDHR2
1045	ACSBG1
1046	TMEM39B
1047	CHUK
1049	ATAD5
1050	HDAC1
1051	DDX55
1054	CRTC1
1055	LETM2
1056	TMED2
1059	RILPL1
1060	SNRNP35
1062	OSGIN1
1063	PRRX1
1066	DAPK2
1067	EIF3I
1068	C1QTNF3-AMACR
1071	SCYL3
1077	ACSS2
1078	C1orf112
1079	ELL
1082	KPNA6
1083	LSM4
1085	DNAJC21
1087	ADAM9
1089	BSDC1
1091	RALGDS
1092	C12orf65
1094	MPHOSPH9
1096	USP3
1097	PIK3R2
1098	PBX1
1099	PMS2
1100	C17orf75
1103	GTF3C5
1104	LRRC52
1107	MCM10
1111	CCZ1
1113	METTL3
1116	MED20
1117	GFI1B
1119	BHLHA15
1120	CCND3
1123	ALDH9A1
1124	TECPR1
1125	SPACA9
1129	POLG2
1130	RBBP4
1131	ARRDC2
1132	DDX31
1133	BTG2
1134	SGK2
1135	CEP95
1137	SKP2
1139	ARHGAP40
1141	ABCA12
1144	ACTR5
1146	ATIC
1147	ARHGEF18
1149	LPCAT2
1152	FN1
1155	SARM1
1158	SLC46A1
1162	FEN1
1166	C5orf42
1168	FAM20C
1169	ENSGALT00000005772
1172	FOXN1
1173	SETX
1176	PIGS
1178	RGSL1
1180	DNAAF5
1181	OGFOD2
1182	NUP155
1183	PAPSS2
1186	PSMD12
1189	DUSP1
1190	RAPGEF1
1192	FANCD2
1193	SOX30
1194	EGFLAM
1195	UCK1
1196	LIFR
1197	SZRD1
1198	IKBKB
1200	CPAMD8
1204	ANO5
1207	ICE2
1211	BRD7
1212	BNIP2
1213	SLC35E1
1214	GET4
1218	ARPC3
1226	KRT19
1229	KRT15
1230	TRIT1
1234	MED7
1235	BLCAP
1237	MTMR10
1241	FAN1
1242	P2RX4
1243	CACNG4
1244	N4BP1
1246	UBR4
1247	CAP1
1248	EPS15L1
1251	SYS1-DBNDD2
1252	SDC4
1254	PPT1
1255	GEMIN5
1256	PRKCA
1259	RBPJL
1263	TOR1AIP1
1264	FAXDC2
1265	CEP112
1268	PITHD1
1269	RUFY2
1272	ERAL1
1274	LARP1
1276	PHKB
1277	AKR7A2
1278	SAP30L
1280	CAMKK2
1281	MARS2
1283	E2F8
1286	CAPZB
1287	DNA2
1288	MINOS1
1291	LARP6
1294	RGS9
1295	FAM114A2
1296	MICALL2
1297	NETO2
1302	STK4
1303	NMUR2
1306	TOMM34
1307	GPR174
1308	STOX1
1311	UHRF1
1312	SRSF10
1313	DDX21
1315	NADSYN1
1316	KIF1BP
1318	NPHS2
1319	TOR1A
1320	ADA
1323	VPS26A
1327	TAF9B
1328	SLTM
1330	KIF4A
1332	TMEM184A
1333	SIRT3
1334	TRMU
1337	SERINC3
1338	HKDC1
1340	KDM2B
1342	MRM2
1343	ORAI1
1346	MORN3
1347	TACR2
1349	BLMH
1351	MYDGF
1353	EIF3B
1355	LFNG
1361	DNAH1
1363	PTDSS2
1364	FITM2
1368	GOSR1
1371	PLA2G12B
1378	OIT3
1380	PSMD9
1381	TBCA
1382	MCU
1383	AMZ1
1385	WDR66
1386	BAP1
1389	VPS35
1391	BCL7A
1392	TIMM22
1395	MLXIP
1399	ASCC1
1400	TTC19
1404	SEC16B
1405	FAM104A
1408	PPA1
1411	UQCRFS1
1412	LRRC20
1413	TP53RK
1414	AP5Z1
1420	ZCCHC8
1421	PAPPA2
1422	DMGDH
1424	TNIP1
1429	SH3GLB2
1431	KNTC1
1432	ENSGALT00000007194
1433	TRPV2
1434	CASC5
1438	RAD9B
1441	NUP188
1442	PPTC7
1444	DOLK
1445	WIPI2
1446	TCTN1
1452	CLCN6
1455	ENSGALT00000007323
1457	KYAT1
1459	FBXL18
1460	P2RX5
1462	SPOUT1
1465	CTNS
1466	RNF216
1468	SHPK
1469	MAD2L2
1470	NMNAT2
1471	ENSGALT00000007401
1472	CCDC32
1473	TRPV1
1475	SMURF1
1476	BAHD1
1477	TRPV3
1478	SHISA5
1479	KPNA7
1480	SMG7
1482	ASPA
1485	IVD
1487	PKN3
1488	NLE1
1491	WDR34
1493	C15ORF23
1494	MSN
1495	TMOD3
1496	ZC3H12B
1497	KCNJ12
1498	ENSGALT00000007522
1499	ALDH2
1500	RGL1
1501	SLC7A10
1502	SLC7A9
1505	STAU1
1506	GLE1
1507	EPHB2
1509	NATD1
1511	TMEM11
1515	CEP89
1517	SLC47A2
1518	PTGES2
1521	NXN
1522	CDC42
1523	MRM3
1524	PHKA1
1525	TRAFD1
1527	TGM3
1529	EDEM3
1530	FAM129A
1531	RHPN2
1532	GEMIN4
1536	P3H1
1537	CCNDBP1
1542	ZMIZ1
1543	MED9
1544	DNM1
1548	FICD
1549	ZNFX1
1550	RASD1
1552	PHACTR3
1556	SYCP2
1558	ZMYND12
1559	VPS53
1562	GTSE1
1566	TOM1L2
1567	CHST8
1568	MYEF2
1569	KCTD15
1573	TRUB2
1574	ATPAF2
1575	COQ4
1576	GID4
1577	ATG7
1578	LSM14A
1579	GLRA4
1584	DRG2
1585	BTK
1587	SVOP
1588	URM1
1590	ENSGALT00000007977
1596	MKRN2
1597	ALKBH2
1599	RAF1
1600	TAF7
1603	PDCD2L
1604	AIPL1
1607	DHX30
1608	DRP2
1610	TEX14
1611	CDK9
1612	SHMT1
1614	TRMT2B
1618	PPM1E
1619	PTGS2
1622	TRIM37
1625	DEAF1
1626	SMG8
1628	B9D1
1629	NAIF1
1631	CDH4
1632	GDPD1
1635	SWT1
1637	FAM96B
1638	RRAD
1639	PDP2
1642	PTRH2
1645	RNPC3
1647	HRH3
1648	AP1S3
1651	SEC24C
1654	OSBPL2
1655	RNFT1
1656	ACSL3
1658	NAE1
1659	CCDC79
1663	DPH5
1664	FARSB
1665	PPP3CB
1666	SGPP2
1671	EPHA4
1672	VCAM1
1674	DBT
1677	LRRC39
1678	TBX4
1681	CYB5R2
1682	PPFIBP2
1684	SASS6
1685	PPM1D
1688	TKT
1689	CLSTN2
1691	SRFBP1
1694	EIF3F
1695	SNX2
1697	SLC35A3
1698	CABLES2
1700	RBBP8NL
1701	MSLN
1703	COPB2
1704	SORBS1
1705	CHDH
1708	BTBD10
1709	SGSM1
1711	ACTR8
1714	HAGH
1717	MRM1
1718	SNAP47
1720	FRRS1
1721	PDLIM1
1723	OGT
1725	PARVA
1728	CCDC66
1729	TADA2A
1731	NDUFB10
1732	SYNRG
1734	PLPPR5
1743	HEATR6
1745	NTSR1
1746	SRSF1
1748	VEZF1
1749	MRGBP
1752	ITM2C
1754	PIK3AP1
1756	NLGN3
1757	TBL3
1759	NOXO1
1760	AKAP1
1762	GFER
1763	TMEM56
1764	ALG14
1766	EVI2A
1767	SYNGR3
1768	OMG
1769	HPS4
1770	ZNF598
1775	SRRD
1776	NTHL1
1777	PDE12
1778	ARF4
1779	MED12
1781	TRPM2
1782	MRVI1
1784	CEP152
1786	ABCD3
1789	PITPNB
1794	DTWD1
1797	KSR1
1798	CUEDC2
1802	NDUFB8
1804	IFT20
1806	SLC17A9
1810	ZDHHC7
1812	SQOR
1813	FLT4
1814	CSF1R
1815	SLC7A3
1819	SGSM2
1820	YTHDF1
1822	VILL
1823	WEE1
1824	HMGXB3
1825	CCDC117
1826	GCLM
1827	ZNF143
1829	UQCRC1
1832	DCAF12
1834	ZNRF3
1835	PLCD1
1836	KIF24
1838	TMEM41B
1842	FAM219A
1843	KCNQ2
1844	HDLBP
1845	PPP1R7
1848	FNBP1L
1850	CLUH
1851	TBC1D9B
1852	ALOX5
1857	CCDC18
1858	DGCR2
1859	SCUBE2
1861	PCMTD2
1862	TMED5
1863	SQSTM1
1864	RPN1
1867	WASHC2C
1868	C11orf16
1870	FAM69A
1871	NPY4R
1879	GFI1
1881	GLMN
1883	LMO3
1886	RIC3
1887	OXSR1
1892	PDE8A
1893	RRAS2
1894	WHAMM
1895	ENSGALT00000009661
1896	BTBD8
1902	EPHX4
1905	TM6SF1
1906	BRDT
1907	PITPNM3
1908	HDGFL3
1909	MCM2
1912	BNC1
1913	RBBP6
1915	SH3GL3
1916	TPRA1
1917	STK26
1918	CDC7
1919	CALCB
1920	TEKT1
1922	C11orf58
1923	PALB2
1924	WNT8A
1926	PLEKHA7
1928	RPS13
1930	ZNF644
1931	FAM122B
1934	UBFD1
1935	ZC3H18
1936	SAXO2
1938	EARS2
1939	COL6A2
1944	COG7
1945	ENSGALT00000009943
1948	LRRC8B
1952	VSTM4
1953	SLC9A6
1954	ENSGALT00000009979
1955	CERS5
1956	KYAT3
1958	TXNRD3
1959	LSS
1960	RHEB
1961	SPG7
1962	SMARCD1
1966	PRKAG2
1970	PABPN1L
1971	SAAL1
1972	KLF15
1973	TRAPPC2L
1974	ERCC6
1975	HS2ST1
1976	MAP7D3
1980	TPX2
1984	XRCC2
1987	USP31
1988	HS3ST4
1990	SON
1991	KDM8
1995	DTYMK
1997	ANKRD22
1998	ING5
2002	PFKFB3
2003	CHCHD4
2004	STAMBPL1
2005	DDX51
2006	UEVLD
2007	GSTT1
2008	TMEM43
2009	CXCL14
2010	D2HGDH
2015	GAL3ST2
2017	TMEM86A
2018	CABIN1
2021	C5orf24
2022	TMC3
2023	UBXN7
2025	IL16
2027	CRKL
2028	RNF168
2029	ADGRG4
2032	HTATSF1
2033	SEC24A
2036	MED15
2037	PANK1
2038	TSR3
2039	AQP12A
2040	NOM1
2042	GNPTG
2043	NAP1L4
2045	GRIP2
2058	SCN3B
2059	ANKRD1
2061	CLMP
2062	FSTL4
2064	MTHFS
2065	TRPM5
2066	NCAPG2
2068	C21orf2
2071	DNAJB11
2072	GGT1
2073	TBCCD1
2076	LSP1
2077	SLC35G1
2080	POFUT1
2081	ZMYND11
2082	A4GNT
2083	MTMR14
2086	KIF7
2088	BCCIP
2089	FBXO3
2090	ATP11C
2091	PDE6C
2092	CEP63
2097	CEP55
2106	ENSGALT00000010795
2109	BEND7
2112	ABCC6
2114	PROSER2
2116	GTPBP4
2117	NOX1
2119	OAF
2125	ENSGALT00000010888
2127	CDK5RAP1
2128	NECTIN1
2129	YWHAH
2130	ENSGALT00000010905
2133	SLC22A4
2137	MRPS11
2138	MRPL46
2139	PLOD2
2142	CCDC71
2143	RPRD1B
2144	KIF11
2146	ABCG4
2149	PLSCR1
2150	HINFP
2153	CTNNBL1
2159	NCBP2
2163	KIF3A
2170	TMC7
2174	EIF4ENIF1
2177	RNH1
2178	CHM
2180	IMPDH2
2181	TMC5
2182	NXPH3
2184	CHKA
2187	PATZ1
2188	P4HTM
2190	PIK3IP1
2191	ENSGALT00000011251
2193	LIMK2
2194	CCNJ
2195	ARIH2
2197	COL27A1
2198	ENDOV
2199	C12orf43
2200	RGMA
2201	HNF1A
2202	USP28
2204	BLNK
2205	SLC25A20
2215	KNDC1
2217	ARRDC4
2222	ENSGALT00000011381
2224	ACAP2
2225	CCDC40
2226	METTL9
2227	TRIM32
2228	PXK
2230	LSG1
2231	IGSF6
2237	OTOA
2238	ACADS
2239	ENTPD1
2240	PAPPA
2241	UNC119B
2242	KDELR2
2243	CPN1
2244	GDF9
2246	RPS6KA6
2247	LEAP2
2248	MLEC
2252	LINS1
2255	CABP1
2256	TNFSF8
2258	FADS1
2261	FAM107A
2264	OPA1
2266	FAM46D
2267	CLEC16A
2268	C3orf67
2269	CIITA
2276	KIFAP3
2278	TK1
2279	HRASLS
2282	RAB3IL1
2283	ENSGALT00000011662
2286	KIF5B
2287	TVP23A
2288	MB21D2
2289	GMNC
2290	CLCN5
2293	NUBP1
2295	ENSGALT00000011730
2298	SPG21
2299	ZNF438
2301	GABRA3
2303	GCN1
2306	CLDN1
2310	C16orf72
2313	THOC7
2314	P3H2
2316	NME1
2321	NDFIP1
2327	MTPAP
2328	CIT
2329	BAMBI
2330	SST
2331	PARP16
2333	WFIKKN2
2334	PRKAB1
2340	GTF3C1
2341	SRRM4
2342	ANKRD40
2343	ADAMTS9
2344	PEBP1
2345	YIPF5
2347	MPZL2
2349	CD3E
2351	CUTC
2352	MKX
2353	ARCN1
2355	RAB18
2356	ENSGALT00000012042
2357	TMLHE
2358	MPG
2361	ENSGALT00000012050
2363	CTSZ
2364	COX15
2365	SLC25A26
2368	SLC25A28
2369	AXIN1
2370	HACD3
2371	GOT1
2373	LARS
2375	KMO
2376	MASTL
2378	GNAS
2381	RBM27
2382	ACBD5
2383	ABCC3
2384	TCERG1
2386	NPEPL1
2389	APCDD1L
2390	ABI1
2392	GLS
2395	PDSS1
2396	CLCN7
2398	PPP2R2D
2399	FYTTD1
2400	DPYSL3
2403	MTMR8
2404	ZDHHC16
2407	RRP12
2410	CDC23
2411	RPL35A
2415	C10orf12
2416	MEGF11
2417	HMOX2
2418	ENSGALT00000012360
2420	DIS3L
2423	SUCLG2
2424	ENSGALT00000012400
2425	CDX4
2426	DDX6
2427	CHIC1
2428	MYCBPAP
2430	PSMD1
2432	EME1
2433	ENKUR
2435	TRAP1
2437	CCDC84
2438	ARMC9
2443	RPL4
2450	ZWILCH
2451	ECI1
2454	COPS7B
2458	FADS6
2462	ABCB7
2464	OTOP2
2465	BCAS1
2466	SHQ1
2467	ZNF217
2469	GXYLT2
2471	TSHZ2
2476	DNAJA3
2477	MRPL58
2480	APIP
2481	PEX13
2482	TTC12
2485	KAZALD1
2491	PAPOLG
2493	KLHDC4
2494	MAGT1
2495	SMAD6
2501	SDHD
2502	FANCL
2505	AAGAB
2506	SPAG6
2509	DLAT
2511	CHRNG
2513	IQCH
2514	ATP9A
2515	DNAJC1
2516	PRR5L
2517	STK17B
2520	DLD
2522	SF3A1
2527	AMOT
2533	JPT1
2534	PIAS1
2535	SUMO2
2537	CBLL1
2540	KCNG1
2542	MOCS3
2544	ALKBH3
2546	ENSGALT00000012985
2547	SLC26A4
2549	ZC3HC1
2550	RIPOR3
2551	ITGA11
2552	BCAP29
2553	TMEM94
2554	SLF2
2556	TMEM209
2557	ENSGALT00000013047
2558	TSEN54
2560	SLC9A8
2561	COQ10B
2563	ANP32A
2564	B4GALT5
2565	PAK3
2567	GLCE
2569	AMMECR1
2572	C1QTNF4
2574	NDUFS3
2575	NEFH
2576	ACTR1A
2577	KIF23
2578	SUFU
2579	RAPSN
2581	CEP41
2582	CDHR3
2584	TMEM178
2586	BOLL
2587	MTIF2
2592	PUS7
2596	KCTD18
2597	SGOL2
2601	ANKRD16
2602	FAM96A
2604	GPR75-ASB3
2607	SPG11
2609	EIF3J
2610	TRIM36
2612	NPHP1
2613	FBXO21
2614	LXR
2616	FBXW8
2618	PCGF6
2619	BUB1
2620	GRAMD2B
2622	CFLAR
2623	DNAJC2
2624	ANAPC1
2625	BLM
2631	CALHM3
2633	PMPCB
2634	PSMD10
2638	BHLHE40
2639	CCDC146
2640	ARL8B
2642	EDEM1
2643	PTPN12
2644	COL17A1
2645	CKAP5
2649	PDIA3
2654	TPCN1
2655	AMBRA1
2660	CHRM4
2661	TRAK2
2662	STRADB
2663	EIF2B5
2664	TMEM237
2666	SFR1
2667	PPIP5K1
2668	CFAP43
2669	CREB3L1
2675	ALS2
2677	CFAP58
2678	SEC13
2679	PEX16
2682	CRNKL1
2684	SUMO1
2685	NET1
2686	ARHGDIA
2687	SH2D1A
2689	IFT122
2690	NOP58
2691	HGF
2692	SLC35B4
2693	FAM117B
2694	LRGUK
2695	SPINT1
2696	WDR12
2698	CARF
2699	ARRDC1
2701	ABCF3
2702	STAG2
2704	VPS18
2707	THOC2
2708	GRIA3
2709	C1GALT1C1
2711	MCTS1
2712	TP53BP1
2714	ABHD12
2717	MDH1B
2718	TUBGCP4
2719	CRELD2
2720	ARL5B
2721	ENSGALT00000013953
2723	LAMP2
2727	NDUFAF1
2728	ATP1B4
2729	RTF1
2732	TMEM255A
2733	INO80D
2734	MAPK12
2735	UPF3B
2736	ENSGALT00000014054
2741	APMAP
2742	CXorf56
2743	STAM
2745	CST7
2746	BCL10
2747	CTLA4
2748	DSTN
2752	SLC25A43
2753	MAPKBP1
2755	TRABD
2757	MCOLN2
2759	CYP20A1
2761	PNPLA7
2762	MINDY3
2763	DPH7
2765	WDR92
2766	SPAM1
2770	SPRED2
2771	CTBS
2773	NMT2
2774	GPAM
2778	RPL12
2779	FAM161A
2781	CCT4
2782	CROT
2784	LRRN4
2785	LRSAM1
2786	OLAH
2787	IQUB
2788	AFTPH
2789	SLC31A1
2790	HAO1
2792	UGP2
2793	PRPF4
2794	MDH1
2795	WDR31
2796	LONRF3
2798	DNAJC10
2800	ALAD
2801	FAM199X
2803	ENSGALT00000014426
2805	PDE1A
2807	TTC14
2808	ADGRL4
2811	PPP1R1C
2812	GRIN1
2814	SSFA2
2820	NDOR1
2824	TMEM17
2825	COMMD1
2828	FUBP1
2830	FBXO11
2831	NEXN
2834	RUNDC3B
2835	CCDC186
2836	EXD3
2837	KCNK12
2838	DBF4
2840	FBXW5
2842	USP33
2843	FAM3C
2844	ITGA4
2845	TRMT61B
2846	VWA2
2848	WDR43
2849	CXorf57
2850	VPS39
2851	ANKEF1
2855	C2orf71
2856	PIGK
2857	SLX4IP
2858	TMEM87A
2861	CLIP4
2862	CFAP69
2864	PIF1
2865	GTPBP10
2866	GANC
2868	FUT7
2873	CAPN14
2875	TRUB1
2876	FSHR
2877	DPP7
2878	HAUS2
2883	GPCPD1
2884	NLGN1
2888	NCSTN
2892	COPA
2893	CHGB
2896	PRR9
2897	FMR1
2900	MCM8
2901	CCNF
2902	RBM45
2903	C16orf59
2905	MND1
2906	CRLS1
2909	ATP6V0C
2910	TMEM131L
2912	AGPS
2914	UBR1
2915	SDE2
2916	PLRG1
2917	SHTN1
2918	TMEM62
2919	MTX2
2920	KCNK18
2925	TMEM63A
2926	DNAL1
2927	RNPS1
2928	SLC18A2
2930	CHN1
2931	PDZD8
2933	ENAH
2934	SLC2A2
2936	WDR26
2940	PSEN1
2941	NVL
2943	CFTR
2944	EIF3A
2945	FAM45A
2948	AC026316.5
2949	RAPGEF4
2951	GUCY1B1
2952	CYP51A1
2953	WNT2
2954	RGS6
2955	PRDX3
2957	PHC3
2958	CTSO
2959	SEC62
2962	CAV2
2964	TES
2966	PEX1
2967	SMOC1
2969	RGS10
2970	AIDA
2971	SUSD6
2974	GPR85
2976	IFRD1
2977	PPID
2979	GOLIM4
2980	SEC23IP
2981	RAPGEF2
2982	ACTN1
2984	HEPACAM2
2989	RAB3GAP2
2990	PLEKHH1
2995	TMEM192
2997	PLEKHA1
2999	PPM1L
3003	PPHLN1
3004	KPNA4
3006	DCAF17
3007	MSMO1
3008	CPE
3009	ANXA10
3010	PUS7L
3011	IQCJ
3015	EPRS
3016	SLC30A10
3017	RRP15
3019	FSIP1
3020	GPATCH2
3022	GFM1
3023	EMC7
3025	CHRM5
3028	MLF1
3029	AADAT
3030	ACADSB
3031	MFAP3L
3032	HPF1
3033	CLCN3
3034	KCTD3
3039	PTX3
3042	CCNL1
3044	MUM1
3045	ABRAXAS2
3046	EEF1AKMT2
3048	AMIGO2
3052	ATP23
3053	SPRED1
3054	C1GALT1
3055	LRIG3
3056	SLC16A7
3058	NME6
3060	GOLGB1
3063	MGST2
3064	FLVCR1
3066	NENF
3067	SRGAP1
3068	PPIG
3069	RASSF3
3072	NEK2
3074	GNS
3076	CAMK1D
3079	SYT14
3080	HELB
3083	SMARCA5
3084	SCFD1
3085	MDM1
3086	COCH
3088	MTA3
3091	DUSP3
3092	THADA
3093	AP4S1
3094	SPOP
3095	MDM2
3097	CPM
3098	ABCG5
3100	CPSF6
3102	LRPPRC
3104	SLC3A1
3105	MMAA
3106	CCT2
3108	PREPL
3109	ZNF827
3115	EAPP
3116	HYI
3118	CFL2
3119	MYRFL
3121	FAM177A1
3122	SRP54
3123	PTPRB
3125	PPP2R3C
3126	KIAA0391
3129	NFKBIA
3130	KCNK16
3135	RALGAPA1
3136	FAM160A1
3137	ATP6V0B
3138	MBIP
3140	C4orf33
3144	KIF2C
3146	SH2D4A
3147	RPS8
3149	GLO1
3151	BTBD9
3152	ZFAND3
3153	HGSNAT
3155	POMK
3157	MDGA1
3159	CBWD1
3160	CCDC167
3166	TMEM19
3167	SLC29A1
3171	FAM161B
3172	COQ6
3174	ENTPD5
3175	KCNC2
3176	LARP1B
3177	CAPS2
